Column1	Column2
Acumularile de drusen	reprezinta mici depuneri galbene de proteine grase, adica lipide, care se acumuleaza sub retina
adenoame	numite tipuri de polipi
Adenom de prostata	inseamna marirea prostatei
Adenomioza	este o afectiune in care mucoasa interioara a uterului se extinde in peretele muscular al uterului
Adenomioza	boala inrudita cu endometrioza
ADHD	este o boala ce prezinta componenta genetica
ADN-ul	este format din sase parti: un glucid, un mineral (rest de acid fosforic) si patru substante chimice speciale numite baze
adrenalina	cum ar fi produse chimice asociate cu stresul
adrenalina	cum ar fi produsi chimici legate de stres
adrenalina	(epinefrina)
Afazia	este una dintre una dintre cele mai intalnite tulburari de vorbire
Afazia	este una dintre cele mai intalnite tulburari de vorbire
Afazia optica	este un sindrom sindrom rar in care pacientii nu pot sa numeasca obiecte prezentate vizual, dar nu au dificultati in denumirea acestor obiecte in urma unei prezentari tactile sau verbale
Afazia progresiva primara	este termenul utilizat pentru dificultatea de vorbire care se dezvolta treptat
afectiune	cum ar fi bolile de inima sau bolile pulmonare
afectiune	afectiune numita fibrom uterin
afectiune a pielii 	cum ar fi acnee, psoriazis sau eczema
afectiune ale stomacului	afectiune se numara aciditatea gastrica
afectiune cronica	cum ar fi boli cardiace sau diabet
afectiune medicala	cum ar fi afectiuni cardiace sau pulmonare
afectiune medicala pe termen lung 	cum ar fi diabetul, bolile de inima, afectiunile pulmonare, afectiunile renale sau o boala neurologica
afectiunea raynaud	afectiune circulatorie
afectiunea raynaud	caracterizata prin reducerea cantitatii de sange care ajunge la nivelul mainilor si picioarelor
afectiuni	cum ar fi un accident vascular cerebral sau o tumora pe creier
afectiuni	cum ar fi : BPOC, simptome gastrointestinale, boala Parkinson, otravire, astm, ameteala, rau de miscare
afectiuni	cum ar fi cancerul biliar sau cancerul pancreatic
afectiuni	cum ar fi : hipertensiunea arteriala, ateroscleroza, fibrilatia atriala si diabetul
afectiuni	cum ar fi un accident vascular cerebral sau o tumora pe creier
afectiuni	cum ar fi: BPOC, simptome gastrointestinale, boala Parkinson, otravire, astm, ameteala, rau de miscare
afectiuni	cum ar fi TBC
afectiuni	cum ar fi o infectie toracica
afectiuni	cum ar fi diabetul sau anemia
afectiuni	cum ar fi artrita, diabetul si chiar migrenele
afectiuni	cum ar fi artrita reumatoida si diabetul
afectiuni	cum ar fi hipertensiunea arteriala, ateroscleroza, fibrilatia atriala si diabetul
afectiuni	cum ar fi boala arteriala periferica
afectiuni	cum ar fi boala Hodgkin, leucemia si bolile insotite de imunosupresie
afectiuni	(cum ar fi dializa)
afectiuni acute	cum ar fi traumatismele
afectiuni acute	cum ar fi traumatismele
afectiuni ale inimii	cum ar fi infarctul
afectiuni ale pielii	cum ar fi psoriazisul
afectiuni ale pielii	cum ar fi eczema si dermatita seboreica
afectiuni ale pielii	cum ar fi o eczema, lichenul plan sau psoriazisul
afectiuni asociate	cum ar fi diabetul sau o tiroida subactiva
afectiuni asociate cu afazia	cum ar fi boala Alzheimer (sau alte forme de dementa) sau accidentul vascular cerebral
afectiuni asociate cu afazia, 	cum ar fi boala Alzheimer (sau alte forme de dementa) sau accidentul vascular cerebral
afectiuni asociate cu obezitatea	; diabet de tip 2, hipertensiunea arteriala, apneea in somn, boala de reflux gastroesofagian
afectiuni autoimune	cum ar fi: diabetul zaharat, artrita reumatoida
afectiuni benigne ale pielii	cum ar fi negi
afectiuni cardiace	cum ar fi bolile valvelor inimii si ritmurile cardiace neregulate
afectiuni cardiace	cum ar fi bolile valvelor inimii si ritmurile cardiace neregulate
afectiuni cardiace congenitale 	(innascute)
afectiuni care ar putea contribui la bradicardie	cum ar fi o infectie, hipotiroidism sau un dezechilibru electrolitic
afectiuni coloanei vertebrale  	cum ar fi hernia de disc, spondiloza si spurturile osoase
afectiuni congenitale	cum ar fi sindromul Down si defecte cardiace
afectiuni cronice	cum ar fi bolile reumatice
afectiuni cronice	cum ar fi bolile reumatice
afectiuni cronice	cum ar fi reumatoida si lupusul
afectiuni cronice 	cum ar fi artrita, guta si infectiile
afectiuni cutanate	precum eczema
afectiuni de natura infectioasa	cum ar fi patologiile cauzate de specii de stafilococi, streptococi sau alte bacterii
afectiuni gastro-intestinale	cum ar fi ulcerul gastric si cancerul
afectiuni hepatice	cum ar fi hepatita si alcoolismul cronic
afectiuni hepatice	cum ar fi hepatita si alcoolismul cronic
Afectiuni hepatice	: steatoza hepatica
afectiuni mai grave	cum ar fi cancer pulmonar, insuficienta cardiaca, embolie pulmonara sau tuberculoza
afectiuni medicale	cum ar fi spasmele pleoapelor si durerile de cap severe
afectiuni medicale	cum ar fi spasmele pleoapelor si durerile de cap severe
afectiuni non-canceroase	cum ar fi chisturile
afectiuni oculare	cum ar fi cataracta, degenerarea maculara legata de inaintarea in varsta si glaucomul
afectiuni oculare	cum ar fi cataracta, degenerarea maculara legata de inaintarea in varsta si glaucomul
Afectiuni ortopedice	: platfus, slabiciune osoasa
afectiuni psihiatrice	cum ar fi depresia sau autismul
afectiuni psihiatrice 	cum ar fi depresia sau autismul
afectiuni pulmonare	incluzand emfizemul
afectiuni pulmonare, 	cum ar fi pneumotoraxul, embolia pulmonara sau cancerul de plamani
afectiuni subiacente	cum ar fi guta, artrita sau diabetul
afectiuni vasculare	cum ar fi boala cerebrovasculara (accidente vasculare cerebrale) si boala vasculara periferica
afectiunile cardiace, 	cum ar fi hipertensiunea arteriala, ateroscleroza si angina pectorala
afectiunile de baza	cum ar fi artrita reumatoida sau guta
afectiunile extrapericardice si pericardice	cum ar fi : infarctul miocardic acut, infarctul pulmonar, pneumotorax stang, pneumonie si pleurezie stanga, confundarea frecaturilor pericardice cu suflurile cardice
Afectiunile inflamatorii	cum ar fi arterita Takayasu
Afectiunile inflamatorii, 	cum ar fi arterita Takayasu
afectiunile oculare	cum ar fi ochii uscati, degenerarea nervilor optici, degenerarea maculei, defectele vizuale si cresterea sensibilitatii la infectii
Afectiunile oculare	cum ar fi glaucomul
afectiunilor inflamatorii	cum ar fi artrita si astmul
afectiunilor inflamatorii	cum ar fi artrita si astmul
afectiunilor inflamatorii	cum ar fi artrita si astmul
Aftele	si alte infectii cu candida
Ageneza vaginala	este o malformatie congenitala rara care se manifesta prin nedezvoltarea vaginului si a uterului
Ageneza vaginala	cunoscuta si sub denumirea de aplazie mulleriana
agenti patogeni	cum ar fi bacteriile responsabile pentru boala Lyme si virusul gripei H1N1
Agentii de maturare	cum ar fi carbura de calciu
agentilor patogeni	cum ar fi bacteriile
agentilor patogeni	cum ar fi bacteriile
Aici sunt inclusi combustibilii, solventii (	cum ar fi tetraclorura de carbon) si plumbul (si vopsele pe baza de plumb, tevi si materiale de lipit)
AINS	cum ar fi aspirina sau ibuprofenul
AINS	(medicamente antiinflamatoare nesteroidiene)
AINS	cum ar fi ibuprofenul sau naproxenul sodic
AINS	cum ar fi ibuprofen sau naproxen
alanin aminotransferaza	(ALT sau TGO) 
alanin aminotransferaza sau aspartat aminotransferaza 	cum ar fi analizelor de sange de rutina
alcalozei	un dezechilibru al ph-ului, caracterizat prin cresterea anormala a alcalinitatii plasmei si a lichidelor intestinale
alcoolismul	(consumul excesiv de alcool)
Alcoolismul	este o boala cronica ce se caracterizeaza prin consumul excesiv si indelungat al alcoolului etilic
alcoolismul	este o boala care se poate trata
Alcoolismul	este o boala cronica ce se caracterizeaza prin consumul excesiv si indelungat al alcoolului etilic
aldosteron	, hormon secretat de glandele suprarenale si care ajuta la echilibrarea nivelului de sodiului si apei din organism
alergarea sau tenisul	cum ar fi sport care creeaza miscari extinse si repetitive
alergarea sau tenisul	cum ar fi sport care creeaza miscari extinse si repetitive
alergenilor din aer (	cum ar fi polenul plantelor sau sporii mucegaiului)
alergic	(hipersensibil)
alergie	cum ar fi rinita alergica (febra fanului), urticarie sau eczema
alergie	cum ar fi - rinita alergica (febra fanului), urticarie sau eczema
alergie la alergenul respectiv	inseamna ca pielea reactioneaza cu aparitia unei tumefactii pruriginoase
alergie la polen-alimentare	cunoscuta sub numele de Aceste fructe contin o proteina care poate provoca simptome la persoanele sensibile la polen de mesteacan sau mere
alergie sau simptome comune	cum ar fi stranutul, congestia nazala sau respiratia suieratoare
alergii	cum ar fi polenul, praful, parul animalelor de companie sau […]
alergii	sau alte alte boli sistemice
alergii sau astm bronsic alergic	diferite tipuri de reactii alergice
Alergiile	reprezinta o reactie de aparare exagerata a organismului deoarece factorul extern este perceput mai agresiv decat este de fapt
Alergiile	reprezinta o reactie de aparare exagerata a organismului deoarece factorul extern este perceput mai agresiv decat este de fapt, iar manifestarea acestora nu tine cont de varsta
Alergiile alimentare, cele medicamentoase	sau alte tipuri de reactii de hipersensibilitate severe
alfa-1-antitripsina	numita proteina
alimentatia	(dietele pentru slabit)
alimente	cum ar fi carbohidratii sau grasimile
alimente bogate in acizi grasi Omega 3	cum ar fi tonul si somonul
alimente bogate in acizi grasi Omega 3 	cum ar fi tonul si somonul
alimente bogate in acizi grasi omega-3, 	cum ar fi peste, nuci si unele uleiuri
alimente bogate in calciu	cum ar fi produse lactate, legume bogate in calciu, conserve de sardine / somon, nuci si fructe bogate in calciu
alimente bogate in fier	cum ar fi spanac, soia, mere, masline, caise uscate, sfecla rosie
alimente bogate in fructoza	cum ar fi mierea
alimente bogate in iod	cum ar fi alge, peste, lapte si oua
alimente bogate in iod	cum ar fi alge, peste, lapte si oua
alimente bogate in potasiu	cum ar fi avocado si banane
alimente care declanseaza inflamatia	cum ar fi grasimile hidrogenate, alimentele de tip fast food, zaharul, faina alba, carne rosie, lapte
alimente de origine animala 	cum ar fi branza, oua si carne
alimente fortificate 	cum ar fi laptele, iaurtul, laptele de soia etc
alimente grase	(cum ar fi sunca, carnati si chipsuri)
alimentele bogate in fibre	cum ar fi fructele proaspete, legumele si cerealele integrale
alimentele bogate in fibre (	cum ar fi fructe, legume si paine cu cereale integrale)
alimentele care au putine fibre sau deloc	cum ar fi dulciuri, alimente procesate, piure instant
alimentele care contin acizi grasi omega-3	cum ar fi semintele de in, uleiul de canola, uleiul de ficat de cod, nucile si suplimentele cu ulei de peste
Alimentele cu proteine	cum ar fi un baton de proteine sau nuci
alimentele din familia verzei	cum ar fi broccoli si conopida
Alunitele	recunoscute sub denumirea medicala de nevi
Alunitele	reprezinta zone sau placi alcatuite din melanocite
alveole	(denumiti saculetii cu aer din plamani)
alveolele	(saculetii respiratori ce inseamna localizarea unde are loc schimbul de gaze : oxigen sau dioxid de carbon)
Ambliopie	este o boala care se manifesta mai ales la sugari si copiii mici, care poate determina pierderea permanenta a vederii
Ambliopie	(ochi lenes)
amenoree	numita afectiune
amenoree	numita o afectiune
amilaze	numite un grup de enzime digestive
amilorida, spironolactona sau triamterenul	cum ar fi diuretic ce economiseste potasiu
aminoacid	numit arginina
amnezie neurologica	este cunoscut Amnezia cauzata de leziuni cerebral
Amorteala	este termenul care se refera la pierderea senzatiilor de la nivelul unei zone a corpului si este cel mai adesea cauzata de leziuni, iritatii sau compresii la nivelul nervilor
analgezice	cum ar fi aspirina
analgezice si antiinflamatoare, 	cum ar fi ibuprofenul
analgezicele	cum ar fi Medicamentele pentru cefalee, achizitionate fara prescriptie medicala
anamneza	reprezinta discutia cu medicul, in cursul careia pacienta relateaza date despre debutul si evolutia simptomelor, despre antecedentele medicale personale si ale rudelor apropiate
androgeni	numiti hormoni masculini
Androgenii	numiti hormoni masculini
Anemia	este o afectiune cauzata de cele mai multe ori de o deficienta de fier
Anemia	este o afectiune in care organismul nu are suficiente globule rosii pentru a transporta oxigenul in corp
Anemia	reprezinta diminuarea cantitatii de hemoglobina functionala circulanta totala
anemia pernicioasa	 anemie severa
anemia pernicioasa	caracterizata prin scaderea cantitatii de globule rosii, cauzata de incapacitatea organismului de a absorbi vitamina b12
anemia sau diabetul	cum ar fi afectiuni autoimune subiacente
anemie	(un nivel scazut de hemoglobina din sange)
anemie	(deficienta de fier)
anemie	denumita scaderea numarului de globule rosii din sange
anemie aplastica idiopatica	se refera la se dezvolta fara o cauza evidenta
anemie aplastica idiopatica	se refera la se dezvolta fara o cauza evidenta
anestezie	(injectie locala de durere)
anevrism	(marirea arterelor)
anevrism	sau fistula de artera carotida
anevrismul	(cum ar fiproblemelor vaselor de sange)
anevrismul	este o boala cerebrovasculara
anevrismul	caracterizata prin hipotonia peretelui vascular, ceea ce duce la dilatarea vasului
anevrismul aortic	caracterizat prin dilatarea si ruperea aortei
Anevrismul aortic abdominal	reprezinta o zona dilatata in partea inferioara a aortei, slabind semnificativ rezistena peretelui arterial
Anevrismul aortic abdominal	(AAA)
Anevrismul cerebral	reprezinta o afectiune cerebrovasculara a vaselor de sange de la nivelul craniului
Anexita	este o afectiune ce apare cel mai adesea la femeile active sexual, in urma unei infectii la nivelul sistemului reproducator
Anexita	numita si boala inflamatorie pelvina
Anexita	este numita si boala inflamatorie pelvina
Anexita	fiind o inflamatie ce afecteaza organele din pelvis
Anexita	inflamatie ce afecteaza organele din pelvis
Anexita	boala inflamatorie pelvina
Anexita	numita si boala inflamatorie pelvina
Anexita	este numita si boala inflamatorie pelvina, fiind o inflamatie ce afecteaza organele din pelvis
anghinarea	este considerata benefica si pentru inima
angina pectorala	boala - boala a vaselor de sange care duc sangele catre inima
angina pectorala, infarctul miocardic	sau alte boli cardiovasculare
angioedem	(un tip special de umflare a tesuturilor)
angioedem ereditar/idiopatic	(un tip special de umflare a tesuturilor)
angioedem intestinal	(umflarea mucoasei intestinale)
Angiofibromul juvenil	(cunoscut si sub numele de fibrom nazofaringian)
Angiografie cerebrala	pentru a examina arterele de la nivelul craniului
angiograme	numite radiografiile furnizate de angiografia RMN
angioplastia coronariana	inseamna desfundarea arterelor coronariene
angioplastie coronariana	numit procedeu de deschidere a arterelor obstruate
Anhidroza	inseamna absenta sau reducerea transpiratiei in una sau mai multe zone ale corpului
Anizocoria	este un simptom al multor afectiuni, insa nu este o boala in sine
anizocoriei patologice	cum ar fi paralizia nervului oculomotor sau sindromul Horner 
anizocoriei patologice	cum ar fi paralizia nervului oculomotor sau sindromul Horner
Anomalii electrolitice	cum ar fi scaderea nivelului de potasiu, sodiu si clorura din sange
Anomalii electrolitice	cum ar fi scaderea nivelului de potasiu, sodiu si clorura din sange
Anorexia (nervoasa) 	este o afectiune de ordin psihiatric, care descrie o tulburare de alimentatie caracterizata printr-o greutate corporala extrem de scazuta, o distorsionare a imaginii propriului corp si o frica obsesiva de a manca si, implicit, de a se ingrasa
Anorexia nervoasa	este o boala cronica
anorexie atletica	a desemna o tulburare caracterizata de exercitii fizice excesive, obsesive
anorexie sportiva	sau exercitii fizice compulsive
Antiacide	cum ar fi famotidina sau ranitidina
antiacide	(substante care au capacitatea de neutralizare a aciditatii gastrice)
antialgice	sau alte medicamente
antialgice 	cum ar fi algolcaminul si paracetamolul
antialgicele	(antiinflamatoarele nesteroidiene)
antibiotic	se traduce drept impotriva vietii
antibiotice	cum ar fi penicilina sau eritromicina
antibiotice	cum ar fi tetraciclina si doxiciclina, clorura de potasiu
antibiotice	sunt doxicilina, gentamicina, metronidazolul, cefalosporina
antibiotice	cum ar fi metronidazolul si tinidazolul
antibiotice	sau alte medicamente
antibioticele	cum ar fi penicilina
Antibioticele	cum ar fi fluorochinolonele
antibioticele	cunoscute sub denumirea de sulfonamide
anticoagulant 	cum ar fi aspirina si heparina
anticoagulant oral	cum ar fi warfarina
anticoagulante	cum ar fi warfarina
anticoagulante	cum ar fi warfarina
anticoagulante	(numite medicamente pentru subtierea sangelui)
anticoagulante mai noi	cum ar fi dabigatran sau rivaroxaban
anticoagulante orale noi	(NOAC)
anticoagulante orale noi	denumite O noua clasa de anticoagulante
anticoagulante, fibrinolitice, antiplachetare	sau orice alte medicamente care influenteaza coagularea sangelui
anticoagulantele	precum warfarina sau enoxaparina
Anticolinergicele	, medicamente prescrise pentru tratarea unor afectiuni
anticorpi	denumite proteine
anticorpii antinucleari	(ANA)
anticorpii IgM	(anticorpi de faza acuta)
antidepresive	alte clase de (antidepresivele cu actiune duala, precum venlafaxina sau duloxetina)
antidepresivele	sau medicamente psihiatrice
antigen carcinoembrionar	numita proteina
antiiflamatoare 	cum ar fi aspirina, indometacinul, diclofenacul
antiinflamatoare	cum ar fi paracetamol sau ibuprofen
antiinflamatoare nesteroidiene	(AINS)
antiinflamatoare nesteroidiene	cum ar fi ibuprofenul
antiinflamatoare nesteroidiene	(AINS)
antiinflamatoare nesteroidiene	(AINS)
antiinflamatoare nesteroidiene 	cum ar fi ibuprofen si naproxen
antiinflamatoare nesteroidiene (AINS), 	cum ar fi ibuprofenul
antiinflamatoare nonsteroidiene	cum ar fi fenilbutazona, indometacin si ibuprofen
antiinflamatoare nonsteroidiene 	(AINS)
antioxidanti	cum ar fi vitamina E, seleniu si betaina
antioxidanti	cum ar fi epicatechina, violaxantina, neocrom
antioxidanti	cum ar fi beta-carotenul
antioxidantii din capsuni	cum ar fi flavonoidele, fitochimicele fenolice si acidul ellagic
Antracoza	este o boala pulmonara cauzata de inhalarea prafului de carbune
Antraxul	este o boala infectioasa grava cauzata de Bacillus anthracis, care poate supravietui in conditii extreme pentru o perioada lunga de timp
anurie	(imposibilitatea formarii de urina in organism)
Anusul	reprezinta deschiderea de la capatul inferior al intestinului
anusului	(ultimul segmente al intestinului gros)
anxietatea	cum ar fi situatiile stresante 
Anxietatea	este un termen general pentru un grup de afectiuni care provoaca, aproape permanent, nervozitate, frica puternica, neliniste, lipsa de incredere in propria persoana, incapacitatea de a-si asuma un anumit risc si o serie de tulburari neurovegetative
Anxietatea	este un termen un termen general pentru un grup de afectiuni care provoaca, aproape permanent, nervozitate, frica puternica, neliniste, lipsa de incredere in propria persoana, incapacitatea de a-si asuma un anumit risc si o serie de tulburari neurovegetative
Anxietatea	reprezinta o problema foarte frecvent intalnita in viata de zi cu zi
Anxietatea	este caracterizata prin faptul ca se poate cumula
Anxietatea in sine	inseamna raspunsul organismului de a lupta sau de a renunta intocmai ca in situatia in care persoana in cauza s-ar afla in fata unui pericol
anxietatea sau depresia	cum ar fi tulburari de dispozitie
anxietatea si depresia	cum ar fi tulburarile sistemului nervos central 
aortei	, vasul de sange care are rolul de a transporta oxigenul in organism
Apendicita cronica	este o afectiune pe termen lung caracterizata prin simptome de apendicita care vin si trec in timp
aplazie mulleriana	sau sindrom MRKH
Apnee in somn	(oprirea respiratiei in timpul somnului, pentru cateva secunde)
apnee obstructiva in somn,  sindromul picioarelor nelinistite	cum ar fi probleme cu somnul 
apneea in somn	cum ar fi afectiuni medicale
Apneea obstructiva de somn	reprezinta primul tip, caracterizandu-se prin blocarea fluxului de aer de la nivelul gatului prin obstructia acestuia cu diferite tesuturi moi
aponeuroza plantara	numit un strat de tesut
Arginina	aminoacid esential
Aritmia	este o tulburare cardiaca
Aritmia	caracterizata prin afectarea ritmului batailor inimii
Aritmia cardiaca	deseori denumita si disritmie
Aritmia cardiaca	reprezinta un ritm cardiac anormal
aritmie	numita fibrilatie atriala
aritmii	(ritmuri cardiace anormale)
aritmii	(ritmuri cardiace anormale)
aritmiile	(batai ale inimii neregulate)
ARN de transfer	numit un tip de ARN mult mai mic
ARN de transfer	(ARNt)
Arsurile la stomac	reprezinta o manifestare a bolii de reflux gastric si este frecvent intalnita in timpul sarcinii
Arsurile la stomac	reprezinta o manifestare a bolii de reflux gastric si este frecvent intalnita in timpul sarcinii
Arsurile la stomac	reprezinta o manifestare a bolii de reflux gastric si este frecvent intalnita in timpul sarcinii
Arsurile retrosternale	reprezinta senzatiile acelea intens neplacute, pe care le resimtim uneori dupa o masa prea abundenta, dupa un efort fizic prea intens, dupa o dieta bogata in carne, dulciuri si lipide
artere mari	cum ar fi aorta
artere mari	cum ar fi aorta
Arterele	reprezinta vasele de sange care transporta sange oxigenat de la nivelul cordului in intreg organismul pentru desfasurarea proceseor metabolice
articulatia coxofemurala	articulatiei soldului
articulatie charcot	cunoscute sub denumirea de distrugerea oaselor
articulatiilor care poarta greutatea	cum ar fi soldurile si genunchii
articulatiilor care poarta greutatea	cum ar fi soldurile si genunchii
articulatiilor interfalangiene	(articulatiile de la nivelul degetelor)
articulatiilor sacro-iliace	(oasele bazinului)
articulatiilor sacro-iliace	(oasele bazinului)
articulatiilor situate in apropierea pielii	cum ar fi degetele, genunchii sau coatele
artimia cardiaca	(batai neregulate ale inimii)
artrita 	cum ar fi afectiuni ale articulatiilor si muschilor
artrita de sold	este o afectiune degenerativa
Artrita psoriazica	este o boala autoimuna asociata cu psoriazisul, caracterizata atat prin inflamarea articulatiilor, cat si a pielii
Artrita psoriazica	este o boala autoimuna
Artrita psoriazica	este o boala autoimuna asociata cu psoriazisul, caracterizata atat prin inflamarea articulatiilor, cat si a pielii
artrita reumatoida	cum ar fi durerilor articulare 
artrita reumatoida	este o afectiune autoimuna care poate afecta aproape orice articulatie din corp, inclusiv genunchii
artrita reumatoida	, Cea mai debilitanta forma de artrita
artrita reumatoida	este o boala cronica
Artrita reumatoida	este o boala inflamatorie autoimuna sistemica
Artrita reumatoida	caracterizata prin articulatii dureroase, edematiate care pot afecta mobilitatea si deci calitatea vietii
artrita reumatoida sau lupusul	cum ar fi afectiunilor autoimune
artrita reumatoida si diabetul	cum ar fi afectiuni 
artrita reumatoida, lupusul eritematos sistemic sau sclerodermia 	cum ar fi boala de tesut conjunctiv
artrita reumatoida, lupusul si sclerodermia	cum ar fi Boli ale sistemului imunitar 
artrocenteza	numite proceduri
artroplastie	(interventiile chirurgicale de inlocuire ale articulatiei
Artroza	este numita si boala artrozica
artroza	este o boala articulara comuna, si este cauzata de uzura normala a articulatiilor si a cartilajului
Artroza	este o boala degenerativa
Artroza	este numita si boala artrozica sau osteoartrita
artroza	numita artrita de uzura si de rupere sau boala articulara degenerativa
artroza	se caracterizeaza prin afectarea progresiva a cartilajului articulatiei
ascita	se intelege acumularea de lichid in cavitatea abdominala, mai precis in peritoneu
aspartamul	mai exact indulcitori artificiali
aspartat aminotransferaza	(TGP)
aspirina	cum ar fi medicamente antiinflamatoare care pot creste sangerarea
Aspirina	sau alte antiinflamatoare nesteroidiene
aspirina sau codeina	cum ar fi Medicamente de ameliorare a durerii data de nevralgie
aspirina sau warfarina	cum ar fi medicamente care afecteaza sangerarea
aspirina, acetaminofenul sau ibuprofenul	cum ar fi medicamente fara prescriptie medicala
aspirina, ibuprofen	cum ar fi tablete impotriva durerii 
aspirina, ibuprofen, naproxen	sau alte antiinflamatoare nesteroidiene
aspirina, ibuprofenul si naproxenul sodic	cum ar fi medicamente care amelioreaza durerea 
aspirina, naprosinul si ibuprofenul	cum ar fi medicamentele care pot subtia sangele
Astigmatismul	este o boala a ochilor ce se manifesta prin vedere incetosata ca un prim si principal simptom al acestei boli
astm	sau alte boli pulmonare cu obstructie a cailor respiratorii
astm bronsic alergic	sau alte tipuri de alergii
astmul	cum ar fi probleme respiratorii 
Astmul	este o afectiune pulmonara cronica cu simptome precum, tusea, respiratie dificila si suieratoare
Astmul	este o boala inflamatorie cronica a cailor aeriene, caracterizata prin crize de hiperreactivitate bronsica, bronhoconstrictie si bronhoobstructie, reversibile spontan sau dupa tratamentul farmacologic
Astmul	este o boala cronica ce e caracterizata prin episoade recurente de ingustare a cailor respiratorii
Astmul	este o boala cronica ce duce la inflamatia si umflarea cailor respiratorii
Astmul	este o boala de lunga durata, poate fi tratata, dar nu poate fi vindecata permanent
astmul	diversele tipuri de alergii
Astmul	este o boala care afecteaza bronsiile
Astmul	este o boala cronica inflamatorie a plamanilor si cailor respiratorii, care afecteaza aproximativ 5 persoane din 100
astmul alergic	sau alte tipuri de alergii
Astmul bronsic	este cea mai cunoscuta boala cronica in copilarie
astmul bronsic	si diversele tipuri de alergii
