Statut,Lignes avec marqueurs + termes médicaux (texte original CLEAR EX),Lignes avec marqueurs + termes médicaux avec balises <t> (CLEAR EX),Terme médical,Marqueur,Indicateur,Reformulation
oui,"Les antibiotiques macrolides peuvent avoir un rôle modificateur sur les maladies provoquant une infection et une inflammation des voies respiratoires, comme la mucoviscidose.","Les antibiotiques macrolides peuvent avoir un rôle modificateur sur les maladies provoquant une <t>infection<t> et une <t>inflammation<t> des voies respiratoires, comme la <t>mucoviscidose<t>.",la mucoviscidose,comme,maladie,les maladies provoquant une infection et une inflammation des voies respiratoires
oui,"Nous avons effectué des recherches dans le registre d'essais cliniques du groupe Cochrane sur la mucoviscidose et autres maladies génétiques comprenant des références identifiées lors de recherches exhaustives dans des bases de données électroniques, ainsi que des recherches manuelles de revues pertinentes et de résumés d'actes de conférence.","Nous avons effectué des recherches dans le registre d'essais cliniques du groupe Cochrane sur la <t>mucoviscidose<t> et autres maladies génétiques comprenant des références identifiées lors de recherches exhaustives dans des bases de données électroniques, ainsi que des recherches manuelles de revues pertinentes et de résumés d'actes de conférence.",la mucoviscidose,,maladie,maladies génétiques
oui,"Évaluer les effets du traitement de maintien à la méthadone (TEM) comparé à des traitements qui n'impliquaient pas de traitement de substitution des opiacés (c'est-à-dire la désintoxication, la proposition d'une réadaptation sans médicaments, des médicaments placebo, des témoins sur liste d'attente) contre la dépendance aux opiacés.","Évaluer les effets du traitement de maintien à la <t>méthadone<t> (TEM) comparé à des traitements qui n'impliquaient pas de traitement de substitution des opiacés (c'est-à-dire la désintoxication, la proposition d'une <t>réadaptation<t> sans médicaments, des médicaments placebo, des témoins sur liste d'attente) <t>contre<t> la <t>dépendance<t> aux opiacés.",traitement de substitution des opiacés,c'est-à-dire ; (),,"la désintoxication, la proposition d'une réadaptation sans médicaments, des médicaments placebo, des témoins sur liste d'attente"
non,"Elle sera mise à jour si des informations pertinentes sont disponibles, par exemple lorsqu'une étude appropriée aura été terminée.","Elle sera mise à jour si des informations pertinentes sont disponibles, par exemple lorsqu'une étude appropriée <t>aura<t> été terminée.",,,par exemple,
non,Les données sur les troubles neurologiques et l'incapacité n'étaient pas présentées de manière adaptée pour être analysées.,Les données sur les troubles neurologiques et l'<t>incapacité<t> n'étaient pas présentées de manière adaptée pour être analysées.,,,trouble/s,
oui,"Si le score de Braden d'un patient à l'admission était inférieur ou égal à 18 (c'est-à-dire indiquant un risque élevé de développement d'escarres), les infirmières étaient autorisées à démarrer un faisceau de soins pour la prévention des escarres (c'est-à-dire un ensemble d'interventions cliniques fondées sur des preuves) sans attendre l'ordre d'un médecin.","Si le score de Braden d'un patient à l'admission était <t>inférieur<t> ou <t>égal<t> à 18 (c'est-à-dire indiquant un risque <t>élevé<t> de développement d'escarres), les infirmières étaient autorisées à démarrer un faisceau de soins pour la prévention des escarres (c'est-à-dire un ensemble d'interventions cliniques fondées sur des preuves) sans attendre l'ordre d'un médecin.",le score de Braden d'un patient à l'admission était inférieur ou égal à 18,c'est-à-dire,ou non<h>,indiquant un risque élevé de développement d'escarres
non,L'objectif de cette revue était d'évaluer l'efficacité de l'ivermectine pour prévenir la déficience visuelle et la perte de champ visuel dans la maladie oculaire onchocerquienne.,L'objectif de cette revue était d'évaluer l'<t>efficacité<t> de l'<t>ivermectine<t> pour prévenir la déficience <t>visuel<t>le et la perte de <t>champ <t>visuel<t><t> dans la <t>maladie<t> <t>oculaire<t> onchocerquienne.,,,maladie,
non,"Les études étaient réalisées à trop petite échelle et sur une durée trop courte pour fournir des preuves d'un effet sur la kératite sclérosante, l'iridocyclite, la maladie du nerf optique ou la perte de vision.","Les études étaient réalisées à trop petite <t>échelle<t> et sur une durée trop courte pour fournir des preuves d'un <t>effet<t> sur la <t>kératite<t> sclérosante, l'<t>iridocyclite<t>, la <t>maladie<t> du nerf optique ou la perte de <t>vision<t>.",,,maladie ; ou non<h>,
non,Une étude communautaire dans des communautés en zone mésoendémique concernant la souche de savane de O.volvulus a fourni des preuves indiquant que le traitement collectif annuel à l'ivermectine réduisait le risque de nouveaux cas de maladie du nerf optique et perte de champ visuel.,Une étude communautaire dans des communautés en <t>zone<t> mésoendémique concernant la souche de savane de O.volvulus a fourni des preuves indiquant que le traitement collectif annuel à l'<t>ivermectine<t> réduisait le risque de nouveaux cas de <t>maladie<t> du nerf optique et perte de <t>champ <t>visuel<t><t>.,,,maladie,
non,La principale preuve d'un effet protecteur du traitement collectif à l'ivermectine sur la perte de champ visuel et la maladie du nerf optique provient de communautés situées dans des zones mésoendémiques en termes de souche de savane de O.volvulus.,La principale preuve d'un <t>effet<t> protecteur du traitement collectif à l'<t>ivermectine<t> sur la perte de <t>champ <t>visuel<t><t> et la <t>maladie<t> du nerf optique provient de communautés situées dans des zones mésoendémiques en termes de souche de savane de O.volvulus.,,,maladie,
oui,L'entropion est une affection qui se manifeste par l'enroulement du bord de la paupière contre l'oeil.,L'<t>entropion<t> <mdef>est une<mdef> <t>affection<t> qui se <t>manifeste<t> par l'enroulement du <t>bord<t> de la paupière <t>contre<t> l'oeil.,L'entropion,est un/e,affection/s,l'enroulement du bord de la paupière contre l'oeil
non,"Les interventions décrites et actuellement pratiquées pour traiter cette affection sont chirurgicales, bien qu'un traitement médical temporaire non chirurgical ait été rapporté pour soigner les premiers signes de l'entropion.","Les interventions décrites et actuellement pratiquées pour traiter cette <t>affection<t> sont <t>chirurgical<t>es, <t>bien<t> qu'un traitement <t>médical<t> <t>temporaire<t> non <t>chirurgical<t> ait été rapporté pour soigner les premiers signes de l'<t>entropion<t>.",,,affection/s,
non,L'efficacité relative de ces interventions n'a pas encore été définie.,L'<t>efficacité<t> relative de ces interventions n'a pas encore été définie.,,,défini/e,
non,"Les essais randomisés comparant des IPD à un placebo dans l'insuffisance cardiaque ont été consultés en utilisant MEDLINE (janvier 1966 à 2004), EMBASE (de 1980 à 2003 décembre), le registre CENTRAL Cochrane des essais ( The Cochrane Library Numéro 1, 2004) et les registres d'essais de maladies cardio-vasculaires de McMaster (MCV), et par une recherche manuelle exhaustive internationales de publications (les résumés publiés durant les dernières 22 anées dans le ""European Heart Journal"", ""Journal of the American College of Cardiology"" et ""Circulation"").","Les essais randomisés comparant des IPD à un placebo dans l'<t>insuffisance<t> <t>cardiaque<t> ont été consultés en utilisant MEDLINE (janvier 1966 à 2004), EMBASE (de 1980 à 2003 décembre), le registre CENTRAL Cochrane des essais ( The Cochrane Library Numéro 1, 2004) et les registres d'essais de maladies <t>cardio-<t>vasculaires de McMaster (MCV), et par une recherche manuelle exhaustive internationales de publications (les résumés publiés durant les dernières 22 anées dans le ""European Heart Journal"", ""Journal of the American College of Cardiology"" et ""Circulation"").",,,maladie,
non,"La recherche des essais était basée sur le registre des essais contrôlés du groupe Cochrane sur les maladies hépato-biliaires, le registre Cochrane des essais contrôlés (CENTRAL) dans The Cochrane Library, MEDLINE, EMBASE, et Science Citation Index Expanded jusqu'en janvier 2010.","La recherche des essais était basée sur le registre des essais contrôlés du groupe Cochrane sur les maladies <t>hépato-<t>biliaires, le registre Cochrane des essais contrôlés (CENTRAL) dans The Cochrane Library, MEDLINE, EMBASE, et Science Citation Index Expanded jusqu'en janvier 2010.",,,maladie,
oui,L'énurésie (incontinence urinaire nocturne) est une affection stressante et stigmatisante au niveau social qui touche de 15 à 20  pour cent  des enfants âgés de cinq ans et jusqu'à 2  pour cent  des jeunes adultes.,L'<t>énurésie<t> (<t>incontinence<t> <t>urinaire<t> <t>nocturne<t>) <mdef>est une<mdef> <t>affection<t> stressante et stigmatisante au niveau <t>social<t> qui touche de 15 à 20  pour cent  des enfants âgés de cinq ans et jusqu'à 2  pour cent  des jeunes adultes.,L'énurésie,est un/e,affection/s,une affection stressante et stigmatisante au niveau social
non,"Nous avons également inclus dans cette revue des études comprenant des enfants souffrant d'incontinence urinaire diurne ou des enfants atteints d'affections organiques, à condition que l'étude ait porté sur l'énurésie nocturne.","Nous avons également <t>inclus<t> dans cette revue des études comprenant des enfants souffrant d'<t>incontinence<t> <t>urinaire<t> <t>diurne<t> ou des enfants atteints d'affections organiques, à condition que l'étude ait porté sur l'<t>énurésie<t> <t>nocturne<t>.",,,affection/s ; ou non<h>,
oui,L'incontinence fécale est un trouble infantile courant et potentiellement bouleversant.,L'<t>incontinence<t> fécale <mdef>est un<mdef> <t>trouble<t> <t>infantile<t> courant et potentiellement bouleversant.,L'incontinence fécale,est un/e,trouble/s,un trouble infantile courant et potentiellement bouleversant
oui,"La dysménorrhée fait référence à l'apparition de crampes menstruelles douloureuses d'origine utérine, c'est une affection gynécologique courante avec une morbidité importante.","La <t>dysménorrhée<t> fait référence à l'apparition de <t>crampes menstruelles<t> douloureuses d'origine utérine, c'<mdef>est une<mdef> <t>affection<t> <t>gynécologique<t> courante avec une morbidité importante.",La dysménorrhée,est un/e ; fait référence à,affection/s,"l'apparition de crampes menstruelles douloureuses d'origine utérine, c'est une affection gynécologique courante avec une morbidité importante"
oui,"Déterminer l'efficacité des interventions comportementales pour traiter une dysménorrhée primaire ou secondaire les unes par rapport aux autres, par rapport à un placebo, à l'absence de traitement ou à des traitements médicaux conventionnels, par exemple les anti-inflammatoires non stéroïdiens (AINS).","Déterminer l'<t>efficacité<t> des interventions comportementales pour traiter une <t>dysménorrhée<t> <t>primaire<t> ou <t>secondaire<t> les unes par rapport aux autres, par rapport à un placebo, à l'<t>absence de<t> traitement ou à des traitements médicaux conventionnels, par exemple les anti-inflammatoires non stéroïdiens (AINS).",des traitements médicaux conventionnels,,par exemple ; ou non<h>,les anti-inflammatoires non stéroïdiens (AINS)
non,"Nous avons effectué des recherches dans le registre des essais du groupe Cochrane sur les troubles menstruels et l'infertilité (mai 2009), le registre Cochrane des essais contrôlés (CENTRAL dans The Cochrane Library, Numéro 2, 2009), MEDLINE (de 1966 à mai 2009), EMBASE (de 1980 à mai 2009), Social Sciences Index (de 1980 à mai 2009), PsycINFO (de 1972 à mai 2009) et CINAHL (de 1982 à mai 2009) ainsi que dans les bibliographies des articles.","Nous avons effectué des recherches dans le registre des essais du groupe Cochrane sur les troubles menstruels et l'<t>infertilité<t> (mai 2009), le registre Cochrane des essais contrôlés (CENTRAL dans The Cochrane Library, Numéro 2, 2009), MEDLINE (de 1966 à mai 2009), EMBASE (de 1980 à mai 2009), Social Sciences Index (de 1980 à mai 2009), PsycINFO (de 1972 à mai 2009) et CINAHL (de 1982 à mai 2009) ainsi que dans les bibliographies des articles.",,,trouble/s,
oui,"Dans certains essais, les sujets présentaient un risque de maladies spécifiques (maladie pulmonaire, diabète, cardiopathie ischémique), mais la plupart venaient de population non sélectionnées.","Dans certains essais, les sujets présentaient un risque de <t>maladie<t>s spécifiques (<t>maladie<t> <t>pulmonaire<t>, diabète, <t><t>cardiopathie<t> <t>ischémique<t><t>), mais la plupart venaient de population non sélectionnées.",maladies spécifiques,(),maladie/s,"maladie pulmonaire, diabète, cardiopathie ischémique"
oui,"Les antihypertenseurs sont souvent utilisés, avec l'idée que le fait de baisser la pression sanguine empêchera la progression vers une maladie plus grave, et par conséquent améliorera le résultat.","Les antihypertenseurs sont souvent utilisés, avec l'idée que le fait de baisser la <t>pression<t> sanguine empêchera la progression vers une <t>maladie<t> plus <t>grave<t>, et par conséquent améliorera le résultat.",Les antihypertenseurs ,,maladie,baisser la pression sanguine
oui,"Tous les essais randomisés évaluant un traitement antihypertenseur utilisé pour une hypertension légère à modérée pendant la grossesse définie, lorsque possible, comme une pression sanguine systolique de 140 à 169 mmHg et une pression sanguine diastolique de 90 à 109 mmHg.","Tous les essais randomisés évaluant un traitement <t>antihypertenseur<t> utilisé pour une <t>hypertension<t> légère à modérée pendant la <t>grossesse<t> définie, lorsque possible, comme une <t>pression<t> sanguine systolique de 140 à 169 mmHg et une <t>pression<t> sanguine diastolique de 90 à 109 mmHg.",une hypertension légère à modérée,<non-marq>,défini/e,comme une pression sanguine systolique de 140 à 169 mmHg et une pression sanguine diastolique de 90 à 109 mmHg
oui,Lévaluation médiane de lindice dactivité sur les maladies de LED (SLEDAI) était favorable au groupe du cyclophosphamide.,Lévaluation médiane de lindice dactivité sur les maladies de LED (SLEDAI) était favorable au groupe du <t>cyclophosphamide<t>.,les maladies de LED,(),maladie/s,SLEDAI
oui,La myasthénie est une maladie auto-immune déclenchée par des autoanticorps qui ciblent le plus souvent le récepteur nicotinique de l'acétylcholine.,La myasthénie <mdef>est une<mdef> <t>maladie<t> auto-immune déclenchée par des <t>autoanticorps<t> qui ciblent le plus souvent le <t>récepteur nicotinique<t> de l'<t>acétylcholine<t>.,La myasthénie,est un/e,maladie,une maladie auto-immune déclenchée par des autoanticorps qui ciblent le plus souvent le récepteur nicotinique de l'acétylcholine.
non,"Nous avons consulté le registre spécialisé du groupe Cochrane sur les affections neuromusculaires (31 janvier 2011), le registre Cochrane des essais contrôlés (CENTRAL) (31 janvier 2011, numéro 1, 2011, dans la Bibliothèque Cochrane), MEDLINE (janvier 1966 à janvier 2011) et EMBASE (janvier 1980 à janvier 2011) en utilisant les termes Myasthénie.","Nous avons consulté le registre <t>spécialisé<t> du groupe Cochrane sur les affections neuromusculaires (31 janvier 2011), le registre Cochrane des essais contrôlés (CENTRAL) (31 janvier 2011, numéro 1, 2011, dans la Bibliothèque Cochrane), MEDLINE (janvier 1966 à janvier 2011) et EMBASE (janvier 1980 à janvier 2011) en utilisant les termes Myasthénie.",,,affection/s,
oui,La myasthénie grave est une maladie auto-immune dans laquelle des auto-anticorps interfèrent avec la transmission neuromusculaire.,La myasthénie <t>grave<t> <mdef>est une<mdef> <t>maladie<t> auto-immune dans laquelle des auto-<t>anticorps<t> interfèrent avec la transmission neuromusculaire.,La myasthénie grave,est un/e,maladie,une maladie auto-immune dans laquelle des auto-anticorps interfèrent avec la transmission neuromusculaire.
oui,"Comme pour d'autres maladies auto-immunes, on peut s'attendre à ce que les personnes atteintes de myasthénie grave tirent un bénéfice de l'immunoglobuline intraveineuse (IgIV).","Comme pour d'autres maladies auto-immunes, on peut s'attendre à ce que les personnes atteintes de myasthénie <t>grave<t> tirent un bénéfice de l'<t>immunoglobuline<t> intraveineuse (IgIV).",myasthénie grave,<non-marq>,maladie/s,comme pour d'autres maladies auto-immunes
oui,"Nous avons effectué une recherche dans le registre spécialisé du groupe Cochrane sur les affections neuro-musculaires (le 11 octobre 2011), CENTRAL (2011, numéro 3), MEDLINE (de janvier 1966 à septembre 2011) et EMBASE (de janvier 1980 à septembre 2011) au moyen des termes de recherche 'myasthenia gravis' et 'intravenous immunoglobulin'.","Nous avons effectué une recherche dans le registre <t>spécialisé<t> du groupe Cochrane sur les <t>affections neuro-musculaires<t> (le 11 octobre 2011), CENTRAL (2011, numéro 3), MEDLINE (de janvier 1966 à septembre 2011) et EMBASE (de janvier 1980 à septembre 2011) au moyen des termes de recherche 'myasthenia gravis' et 'intravenous immunoglobulin'.",les affections neuro-musculaires,"""""",affection/s, 'myasthenia gravis'
oui,"La principale mesure de l'effet a été la fraction prévenue (FP),c'est-à-dire la différence moyenne des caries entre les groupes de traitement et de contrôle exprimée en pourcentage de l'augmentation moyenne de caries dans le groupe témoin.","La principale mesure de l'<t>effet<t> a été la fraction prévenue (FP),c'est-à-dire la différence moyenne des caries <t>entre<t> les groupes de traitement et de contrôle exprimée en pourcentage de l'augmentation moyenne de caries dans le groupe témoin.",la fraction prévenue (FP),c'est-à-dire,,la différence moyenne des caries entre les groupes de traitement et de contrôle exprimée en pourcentage de l'augmentation moyenne de caries dans le groupe témoin.
oui,"Seuls des événements indésirables légers et transitoires, majoritairement des affections gastro-intestinales et des ulcères buccaux, ont été rapportés dans les essais inclus.","Seuls des événements indésirables légers et transitoires, majoritairement des affections <t>gastro-<t>intestinales et des <t>ulcères<t> buccaux, ont été rapportés dans les essais <t>inclus<t>.",des événements indésirables légers et transitoires,,affection/s,des affections gastro-intestinales et des ulcères buccaux
oui,La pemphigoïde bulleuse (PB) est la maladie auto-immune de boursouflure de la peau la plus courante dans le monde occidental.,La <t>pemphigoïde<t> bulleuse (PB) est la <t>maladie<t> auto-immune de boursouflure de la <t>peau<t> la plus courante dans le monde occidental.,La pemphigoïde bulleuse (PB), est la,maladie,la maladie auto-immune de boursouflure de la peau la plus courante dans le monde occidental.
non,"Dans un essai, l'échange de plasma plus le prednisone ont donné un contrôle de la maladie significativement meilleur à 1 mois (0,3 mg/kg : RR 18,78, IC à 95 pour cent  entre 1,20 et 293,70) que le prednisone seul (1,0 mg/kg : RR 1,79, IC à 95 pour cent  entre 1,11 et 2,90), alors qu'un autre essai n'a montré aucune différence du contrôle de la maladie à 6 mois.","Dans un essai, l'échange de <t>plasma<t> plus le prednisone ont donné un contrôle de la <t>maladie<t> significativement meilleur à 1 mois (0,3 mg/kg : RR 18,78, IC à 95 pour cent  <t>entre<t> 1,20 et 293,70) que le prednisone <t>seul<t> (1,0 mg/kg : RR 1,79, IC à 95 pour cent  <t>entre<t> 1,11 et 2,90), alors qu'un autre essai n'a montré aucune différence du contrôle de la <t>maladie<t> à 6 mois.",,,maladie,
non,"Aucune différence en terme de contrôle de la maladie n'a été constatée pour différentes doses ou formulations de prednisolone (un essai pour chaque critère), pour azathioprine et le prednisone par rapport au prednisone seul (un essai), pour le prednisolone plus l'athioprine par rapport au prednisolone plus échange de plasma (un essai), pour le prednisolone plus le mycophenolate mofétil ou plus l'azathioprine (un essai) et pour la tétracycline plus la nicotinamide par rapport au prednisolone (un essai).","Aucune différence en terme de contrôle de la <t>maladie<t> n'a été constatée pour différentes doses ou formulations de prednisolone (un essai pour chaque critère), pour <t>azathioprine<t> et le prednisone par rapport au prednisone <t>seul<t> (un essai), pour le prednisolone plus l'athioprine par rapport au prednisolone plus échange de <t>plasma<t> (un essai), pour le prednisolone plus le mycophenolate mofétil ou plus l'<t>azathioprine<t> (un essai) et pour la <t>tétracycline<t> plus la <t>nicotinamide<t> par rapport au prednisolone (un essai).",ou,,maladie,
non,"Dans un autre essai, le colbétasol a montré un niveau de contrôle de la maladie significativement plus important que le prednisolone oral, chez les personnes atteintes de la maladie extensive et modérée (RR 1,09, IC à 95 pour cent  entre 1,02 et 1,17), avec une réduction significative de la mortalité et des effets indésirables (RR 1,06, IC à 95 pour cent  entre 1,00 et 1,12).","Dans un autre essai, le colbétasol a montré un niveau de contrôle de la <t>maladie<t> significativement plus important que le prednisolone <t>oral<t>, chez les personnes atteintes de la <t>maladie<t> extensive et modérée (RR 1,09, IC à 95 pour cent  <t>entre<t> 1,02 et 1,17), avec une réduction significative de la mortalité et des effets indésirables (RR 1,06, IC à 95 pour cent  <t>entre<t> 1,00 et 1,12).",,,maladie,
non,"Les stéroïdes topiques très puissants sont des traitements efficaces et sûrs contre la PB, mais leur utilisation lorsque la maladie est très étendue peut être limitée par des effets secondaires et des considérations pratiques.","Les stéroïdes topiques très puissants sont des traitements efficaces et sûrs <t>contre<t> la PB, mais leur utilisation lorsque la <t>maladie<t> est très étendue peut être limitée par des effets secondaires et des considérations pratiques.",,,maladie/s,
non,"Des doses initiales de prednisolone supérieures à 0,75 mg/kg/jour ne présentent pas de bénéfice supplémentaire ; des doses plus faibles pourraient être adaptées pour contrôler la maladie et réduire l'incidence et la gravité des réactions indésirables.","Des doses initiales de prednisolone supérieures à 0,75 mg/kg/jour ne présentent pas de bénéfice supplémentaire ; des doses plus faibles pourraient être adaptées pour contrôler la <t>maladie<t> et réduire l'incidence et la <t>gravité<t> des réactions indésirables.",,,maladie,
non,"Les participants ayant suivi une réadaptation cognitive pour des problèmes de mémoire suite à un accident vasculaire cérébral (AVC) ont rapporté des bénéfices de l'intervention sur les mesures subjectives de la mémoire au court terme (c'est-à-dire lors de la première évaluation après l'intervention, après un minimum de quatre semaines).","Les participants ayant suivi une <t>réadaptation<t> cognitive pour des problèmes de <t>mémoire<t> suite à un <t>accident<t> <t>vasculaire<t> <t>cérébral<t> (AVC) ont rapporté des bénéfices de l'intervention sur les mesures subjectives de la <t>mémoire<t> au <t>court<t> terme (c'est-à-dire lors de la première évaluation après l'intervention, après un minimum de quatre semaines).",,c'est-à-dire,,
non,"Cet effet n'était cependant pas observé au long terme (c'est-à-dire lors de la deuxième évaluation après l'intervention, après un minimum de trois mois).","Cet <t>effet<t> n'était cependant pas observé au <t>long<t> terme (c'est-à-dire lors de la deuxième évaluation après l'intervention, après un minimum de trois mois).",,c'est-à-dire,,
oui,Trois effets indésirables mineurs (troubles sensoriels et ampoules) ont été identifiés suite à une traction cutanée.,Trois effets indésirables mineurs (troubles sensoriels et ampoules) ont été identifiés suite à une <t>traction<t> cutanée.,effets indésirables mineurs,(),trouble/s,troubles sensoriels et ampoules
oui,Les médicaments anti-inflammatoires non stéroïdiens AINS) sont des agents importants dans la prise en charge des affections arthritiques et inflammatoires et sont parmi les médicaments les plus souvent prescrits en Amérique du Nord et en Europe.,Les médicaments anti-inflammatoires non stéroïdiens AINS) sont des agents importants dans la prise en charge des affections arthritiques et inflammatoires et sont parmi les médicaments les plus souvent prescrits en Amérique du Nord et en Europe.,Les médicaments anti-inflammatoires non stéroïdiens AINS),sont des agents,affection/s,des agents importants dans la prise en charge des affections arthritiques et inflammatoires et sont parmi les médicaments les plus souvent prescrits en Amérique du Nord et en Europe.
oui,L'achalasie est une maladie qui dégrade la motilité oesophagienne.,L'<t>achalasie<t> <mdef>est une<mdef> <t>maladie<t> qui dégrade la motilité oesophagienne.,L'achalasie,est un/e,maladie,une maladie qui dégrade la motilité oesophagienne.
