Column1	Column2
début de la grossesse	(c'est-à-dire moins de 24 semaines de grossesse)
défauts graves 	(par exemple fort taux d'abandon)
déficit cognitif d'origine vasculaire	l'expression des troubles cognitifs importants sans perte de mémoire
déficit cognitif d'origine vasculaire 	(DCOV)
déficit cognitif léger	( DCL)
déficit cognitif léger	( DCL)
déficit cognitif léger	(DCL)
déficit cognitif léger 	( DCL)
degré 0	(pas de douleurs ni de signes physiques)
degré 4	(fracture ou luxation)
démence	défini/e ; défini comme manifestations d'agressivité, d'agitation ou de psychose
démence	 troubles cognitifs
démence	ou d'autres troubles cognitifs
démence	la malade
démence avec corps de Lewy	(DCL)
démence cérébrovasculaire 	(DCV)
démence de la maladie de Parkinson	( DMP)
démence mixte	est qualifiée de la combinaison de la démence vasculaire et de la maladie d'Alzheimer
démence mixte	nom de la démence vasculaire et la maladie d'Alzheimer sont couramment combinées
démences	comme  la démence dans la maladie de Parkinson
dentistes	par exemple soins bucco-dentaires
dents avant inférieures	(canines inférieur et incisives inférieures)
dépistage passif	( la plupart des patients sont identifiés lors de visites dans des établissements de soins)
dépression	couvre dépression majeure, de troubles d'adaptation et de dysthymie 
des acides gras n-3 polyinsaturés	(également nommés acides gras oméga-3)
des activités basiques de la vie quotidienne	( ADLVQ)
des affections	y compris l'entérocolite nécrosante et de rétinopathie du prématuré
des affections courantes	 l'otite moyenne
des affections coûteuses et invalidantes	(comme les maladies cardiovasculaires, le cancer, le diabète et les maladies respiratoires chroniques)
des affections inflammatoires des voies respiratoires	 telles que l'asthme
des affections médicales spécifiques	( hémiplégie ou fracture du col du fémur)
des affections respiratoires	 la BPCO
Des agents dopaminergiques	tels que la bromocriptine et la lévodopa, 
des agents pathogènes	 Clostridium difficile
des agonistes du GABA	( baclofène, GABA gamma-vinyle, GABA gamma-acétylénique, progabide, muscimol, valproate de sodium et tétrahydroisoxazolopyridine (THIP))
des altérations métaboliques	(ostéoporose, induction ou inhibition des enzymes hépatiques)
des antécédents cardiovasculaires	( infarctus du myocarde, AVC, maladie artérielle périphérique occlusive ou angine de poitrine)
des anticholinergiques	( benzhexol, benzatropine, bipéridène ou biperiden ou d'orphénadrine ou procyclidine ou la scopolamine ou trihexylphenidyl)
des antipsychotiques de deuxième génération	, maladie la zotépine et l'amisulpride
des combinaisons d'affections définies qui coexistent fréquemment	,commme le diabète et la dépression
des combinaisons d'affections définies qui coexistent fréquemment	comme  le diabète et la dépression
des complications cardiovasculaires	 tels que des effets indésirables à plus long terme
des complications iatrogènes	(par exemple un cathétérisme central)
des complications iatrogènes	(par exemple un cathétérisme central)
des comportements répétitifs récurrents	 tels qu' une préoccupation démesurée pour l'hygiène des mains, le contrôle et le perfectionnisme
des Critères de classification et de diagnostic des maladies mentales	CCMD-3-R
des difficultés comportementales	telles que l'agressivité ou des comportements d'automutilation, une instabilité émotionnelle ainsi que des problèmes liés à l'anxiété
des effets extrapyramidaux	( des mouvements involontaires, la maladie de Parkinson et l'acathésie)
des effets indésirables	( des troubles du mouvement induits par les médicaments)
des effets indésirables	(par exemple lésions nerveuses et vasculaires, infection profonde ou superficielle)
des effets indésirables	 des diarrhées, des vomissements, une diminution de l'appétit, une intolérance au glucose, des ballonnements et des problèmes de comportement alimentair
des effets indésirables	principalement des troubles gastro-intestinaux et des bouffées vasomotrices
des effets indésirables	notamment des bouffées vasomotrices et des troubles gastro-intestinaux
des effets indésirables	ont été des troubles gastro-intestinaux
des effets indésirables des opiacés	 par exemple la diminution de l'appétit, la fièvre et des étourdissements
des épisodes de désaturation d'oxygène	(par exemple Sp02)
des épisodes de violence 	(tel que physique, sexuelle et/ou psychologique)
des essais contrôlés quasi-randomisés 	(quasi-ECR)
des essais contrôlés randomisés	( ECR)
des essais contrôlés randomisés	( ECR)
Des essais contrôlés randomisés	( ECR)
des essais contrôlés randomisés	( ECR)
des essais contrôlés randomisés 	( ECR)
des événements indésirables	( chutes, infections, troubles gastro-intestinaux)
des événements indésirables légers et transitoires	 des affections gastro-intestinales et des ulcères buccaux
des événements osseux	( des fractures pathologiques, une compression de la moelle osseuse, une radiothérapie osseuse, une chirurgie osseuse)
des excroissances papillomateuses	(ressemblant à des verrues)
des femmes réglées	c'est à dire des femmes après l'apparition des premières règles et avant la ménopause
des groupes de nouveau-nés	(par exemple des unités néonatales indépendantes)
des helminthes par voie percutanée	c'est-à-dire  des larves d'ankylostome
des infections des voies respiratoires	( IVR)
des infections transmissibles sexuellement	( IST)
des informations standard	(c'est-à-dire les pratiques habituelles)
des inhibiteurs de la cholinestérase	comme la rivastigmine
des inhibiteurs de la cholinestérase	comme la galantamine
des inhibiteurs de la monoamine oxydase	(IMAO)
des interventions ciblant l'organisation des soins	(par exemple des outils d'analyse comparative, des modèles d'établissement des coûts)
des interventions non opératoires conservatrices	(par exemple entraînement des muscles du plancher pelvien, simulations, médicaments)
des interventions psychologiques	( psychothérapie, formation des patients, techniques de relaxation)
des lésions hépatiques de grade élevé	c'est-à-dire des grades IV et V de l'échelle AAST
des lésions rénales aiguës (LRA)	est cette affection est potentiellement mortelle
des maladies 	telles que maladie/s l'otite moyenne
des maladies cardiovasculaires	( MCV)
des maladies cardiovasculaires	( MCV)
des maladies chroniques	défini comme les maladies cardiovasculaires
des maladies de l'appareil génital	en particulier le syndrome inflammatoire pelvien (SIP)
des maladies dégénératives	(par exemple dystrophie myotonique)
des maladies hépatiques spécifiques	( hépatite alcoolique, cirrhose, carcinome hépatocellulaire)
des maladies inflammatoires chroniques de la vessie	(maladie la cystite interstitielle, la tuberculose et la schistosomiase)
des maladies sexuellement transmissibles (MST)	 le HIV
des maladies spontanément résolutives	( toux aiguë, bronchite)
des médicaments	(par exemple pentoxifylline, iloprost, agents antiplaquettaires et vitamine E)
des médicaments	(par exemple la bétahistine (Serc(R)) ou des diurétiques)
Des médicaments anti-inflammatoires non stéroïdiens 	( AINS)
des médicaments antirhumatismaux modificateurs de la maladie	( le méthotrexate, l'or, la sulfasalazine, la pénicillamine, le léflunomide, l'hydroxychloroquine)
des médicaments connus pour augmenter la distance de marche	par exemple la pentoxifylline
des médicaments modificateurs de la maladie	(interféron-beta, acétate de glatiramère, natalizumab, mitoxantrone, fingolimod, tériflunomide, fumarate de diméthyle)
des médicaments modificateurs de la maladie (MDT) approuvés	( interféron-beta, acétate de glatiramère, natalizumab, mitoxantrone, fingolimod, tériflunomide, fumarate de diméthyle)
des médicaments qui empêchent l'augmentation du tonus musculaire	(baclofène et dantrolène)
des métastases cérébrales 	( MC)
des méthodes chirurgicales moins invasives	 l'hystérectomie simple, la trachélectomie simple ou la conisation, avec ou sans lymphadénectomie pelvienne
des n-3 	( acides gras oméga-3, huile de poisson)
des néoplasies précoces	définies comme une dysplasie de haut grade DHG
des paramètres de la marche cliniquement pertinents	 la vitesse de marche et la longueur de foulée
des parasites	tels que le demodex 
des périodes d'humeur maussade	(épisodes dépressifs)
des plaques de pustules stériles	(boutons de pus jaunes)
des pratiques portant sur l'alimentation des enfants	(par exemple l'exposition répétée à des aliments)
des principales caractéristiques des TSA	(par exemple interaction sociale, communication et stéréotypies)
des problèmes liés à l'anxiété	(par exemple des symptômes obsessionnels-compulsifs ou des comportements de persévération)
des problèmes liés à l'anxiété	par exemple, des symptômes obsessionnels-compulsifs ou des comportements de persévération
des problèmes médicaux concomitants	( le diabète)
des problèmes médicaux contribuant à l'insomnie	( accident vasculaire cérébral, insuffisance rénale terminale, périménopause, grossesse, maladies psychiatriques)
des problèmes nerveux transitoires	(c'est-à-dire une neuropraxie, un engourdissement et une paresthésie)
des solutions sucrées	(par exemple avec du saccharose ou du glucose)
des structures médianes	(c'est à dire le processus épineux, l'arc vertébral et les ligaments interépineux et surépineux)
des suppléments antioxydants	( bêta-carotène, vitamines A, C, E et sélénium)
des symptômes	,tels que  démangeaisons, rougeurs, desquamation et encroûtement des paupières
des symptômes 	tels que  crampes, nausées, vomissements et étourdissement
des symptômes chroniques	 les acouphènes, le déséquilibre et la perte auditive
des symptômes liés à la miction	(fréquence et impériosité accrues, même la nuit douleurs ou gêne à la miction)
des symptômes physiques et psychologiques	définie comme  douleurs précordiales après l'effort, troubles des fonctions pulmonaires et cardiaques, timidité et isolement social
des syndromes génétiques	(par exemple syndrome de Down, syndrome de Rett)
des thromboembolies veineuses	(TEV)
des thromboembolies veineuses (TEV)	c'est-à-dire les thromboses veineuses profondes (TVP) ou les embolies pulmonaires (EP)
Des traitements alternatifs	sont la cystectomie radicale ou la radiothérapie radicale
des traitements médicaux conventionnels	par exemple les anti-inflammatoires non stéroïdiens (AINS)
des troubles comorbides	 la détresse ou la perte auditive
des troubles comorbides définis	notamment la dépression, le diabète et les maladies cardio-vasculaires
des troubles comportementaux	par exemple symptômes comportementaux et psychologiques de la démence (SCPD)
des troubles douloureux chroniques	notamment  la fibromyalgie
des troubles du mouvement	 la dyskinésie tardive (DT)
des troubles du mouvement	( dyskinésies)
des troubles gastro-intestinaux	( les événements indésirables les plus fréquemment rapportés)
des troubles gastro-intestinaux	 des effets indésirables dans toutes les études et pour toutes les variantes de RC à court terme
des troubles gastro-intestinaux	notamment le syndrome du côlon irritable
des troubles héréditaires  de la structure 	(drépanocytose)
des troubles héréditaires de la synthèse (	(thalassémie)
des troubles inflammatoires	 trouble/s ; tels que la polyarthrite rhumatoïde
des troubles menstruels	 d'hypofertilité (TMH) 
des troubles mentaux graves	(maladies la schizophrénie et des troubles similaires, des troubles bipolaires, ou une dépression avec des caractéristiques psychotiques)
des troubles mentaux graves	par exemple la schizophrénie ou un trouble schizo-affectif
des troubles mentaux graves	(la schizophrénie et des troubles similaires, des troubles bipolaires, ou une dépression avec des caractéristiques psychotiques)
des troubles musculo-squelettiques	par exemple ; telles que les déchirures des ligaments musculaires et des tendons
des troubles neurologiques	 un AVC
des troubles neurologiques	( somnolence, ataxie, vertiges)
des troubles schizo-affectifs	 une schizophrénie
des ulcères réagissant	(défini/e ; défini comme une réduction de la surface > 20  pour cent)
d'essais contrôlés randomisés	( ECR)
d'essais contrôlés randomisés	( ECR)
d'essais contrôlés randomisés 	( ECR)
détartrage et de polissage de routine	défini/e ; telle que détartrage, ou polissage, ou les deux, de la couronne et des surfaces de la racine des dents pour éliminer les facteurs locaux irritants (la plaque dentaire, le tartre, les débris et le jaunissement), qui n'impliquent pas de chirurgie parodontale ou toute forme de thérapie parodontale d'appoint
deux pro-nucleate 	( 2pn)
d'événements indésirables 	 par exemple  les complications infectieuses
d'examens dentaires	: par exemple a) un examen dentaire seul, b) un examen dentaire plus un détartrage et un polissage, c) un examen dentaire plus des conseils préventifs, d) un examen dentaire plus des conseils préventifs, plus un détartrage et un polissage
dialyse péritonéale	( DP)
didanosine 	(ddl)
différence moyenn	(DM)
différence moyenne	( DMT)
différence moyenne 	( DM)
différence moyenne standardisée	(DMS)
différence moyenne standardisée 	( DMS)
difficulté d'apprentissage	défini/e ; () ; définie comme un QI inférieur ou égal à 70
difficultés à allaiter	;  mastite, mamelons gercés, engorgement mammaire
difficultés en termes de parole et de voix	 une articulation dégradée et un volume réduit
dilemmes éthiques	comme par exemple administrer des injections placebo à des enfants
dimorphique	(existant sous deux formes)
dispositifs médicaux invasifs	(par exemple cathéters centraux, cathéters urinaires et dispositifs de ventilation mécanique)
dispositifs médicaux invasifs	(cathéters centraux, cathéters urinaires et dispositifs de ventilation mécanique)
d'obstruction partielle ou complète des voies aériennes supérieures 	(OVA)
douleur abdominale aiguë	( DAA)
douleur associée à l'endométrios	(par exemple la dysménorrhée)
douleur persistante	( chronique)
douleur résultant d'une cause  médicale 	(par exemple douleurs abdominales de l'appendicite)
douleurs d'origine professionnelle au niveau du bras, du cou ou de l'épaule	(CANS)
drains transtympaniques	( l'insertion de tubes de ventilation)
DSM	( Manuel diagnostique et statistique des troubles mentaux)
d'un glaucome à angle fermé primaire 	(GAFP)
d'une fermeture d'angle primaire	(FAP)
dysarthrie	appelé un trouble de la parole
dysarthrie	,affection/s  une affection qui affecte le ton, la force et la coordination d'un ou de plusieurs muscles utilisés pour parler
dysfonctionnements du système nerveux autonome	(c'est-à-dire un hémispasme facial, un syndrome des larmes de crocodile)
dysfonctionnements thyroïdiens	(hypothyroïdie, hyperthyroïdie et/ou auto-immunité thyroïdienne)
dyskinésie tardive	(DT)
dyslexie développementale 	ou  trouble d'apprentissage de la lecture
dysphagie	( difficultés de déglutition)
dysphagie	(des difficultés à déglutir)
dysplasie broncho-pulmonaire	/ maladie pulmonaire chronique
effets indésirables	(par exemple une prise de poids, des ballonnements)
effets indésirables mineurs	( troubles sensoriels et ampoules)
effets secondaires	notamment  la sédation, les troubles sexuels et la sécheresse buccale
effets secondaires	( troubles du mouvement)
effets secondaires anticholinergiques	,  une tachycardie, des vertiges, une nervosité, une sédation, des tremblements, une dyspepsie, des troubles sexuels et une prise de poids
effets secondaires déplaisants de l'utilisation de préparations topiques	, par exemple un goût désagréable
effets secondaires neurologiques	(notamment une dysgueusie)
efficacité contraceptive	(c'est-à-dire taux de grossesses)
efficacité lors d'exacerbations aiguës de la MPOC	(EAMPOC)
élévation de l'humeur	(manie, ou hypomanie dans sa forme moins sévère)
élévation de l'humeur 	((manie, ou hypomanie dans sa forme moins sévère)
en relativement bonne santé	(c'est-à-dire maladie globalement en bonne condition physique, sans maladie manifeste)
entorse cervicale de degré 1 ou 2	( douleurs cervicales et musculo-squelettiques)
épilepsie	tout autre  trouble psychologique ou affection neurologique
équinisme de la cheville	est un/e  La réduction de l'amplitude de dorsiflexion de la cheville
Équipes de santé mentale communautaire	( ESMC)
équipes de santé mentale communautaire	( ESMC)
essai contrôlé quasi-randomisé	( méthode d'assignation des participants à un traitement qui n'est pas strictement aléatoire)
essais contrôlés non-randomisé	(c'est-à-dire quasi-randomisés)
essais contrôlés randomisés	( ECR)
Essais contrôlés randomisés	( ECR)
Essais contrôlés randomisés	( ECR)
Essais contrôlés randomisés	( ECR)
Essais contrôlés randomisés	( ECR)
essais contrôlés randomisés	( ECR)
essais contrôlés randomisés	( ECR)
essais contrôlés randomisés	( ECR)
Essais contrôlés randomisés	( ECR)
Essais contrôlés randomisés	( ECR)
essais contrôlés randomisés	(ECR)
essais contrôlés randomisés 	( ECR)
essais contrôlés randomisés 	(définie ; telle que ECR)
essais contrôlés randomisés 	( ECR)
essais randomisés	,  en aveugle
événements cardio-vasculaires	(par exemple l'infarctus du myocarde et l'AVC)
événements cardio-vasculaires	(par exemple l'infarctus du myocarde et l'AVC)
événements cardiovasculaires indésirables graves	(notamment maladie cérébrovasculaire, maladie cardiaque, maladie vasculaire et insuffisance rénale)
événements indésirables	 Réactions à la perfusion, anxiété, congestion des sinus, oedème des membres inférieurs, frissons, vaginite et troubles menstruels
événements indésirables	( coagulopathie, troubles gastro-intestinaux, hémorragie et microangiopathie)
événements indésirables	 les troubles du mouvement et la somnolence
événements indésirables	tels que des nausées, une constipation et des vomissements
événements indésirables	en particulier ; ,  des paresthésies, une perte de poids, une diminution de l'appétit et des troubles de la mémoire
événements indésirables	(EI)
événements indésirables (EI)	par exemple les complications infectieuses
événements indésirables bénins	tel que maux de tête, troubles gastro-intestinaux
événements indésirables graves	 une maladie coronarienne […] un accident vasculaire cérébral
examens échographiques	,  l'échographie en mode B ou l'échographie Doppler couleur
exercice de respiration	, tel que e contrôle de la respiration, la respiration diaphragmatique, la respiration yoga, la respiration de Buteyko, la modification de la respiration guidée par rétroaction biologique et la suppression des bâillements/soupirs
facteurs de risque	par exemple tabagisme, consommation excessive d'alcool et mauvaise alimentation
facteurs de risque	 les grossesses multiples, l'apnée, l'hémorragie intracrânienne, l'anémie, le sepsis, la ventilation mécanique prolongée, les transfusions multiples et l'exposition à la lumière
facteurs de stimulation de colonies 	( CSF)
falciformes	 ou en demi-lune
fibrose pulmonaire idiopathique 	(FPI)
flux d'énergie interne	(c'est-à-dire le  Qi )
fonction de la vessie	, le cancer de la vessie, le dysfonctionnement de la vessie neurogène, une hyperactivité du détrusor et des maladies inflammatoires chroniques de la vessie
fonctions	(par exemple prendre un bain)
fonctions 	(par exemple ; y compris l'indépendance pour les déplacements et les activités de la vie quotidienne)
Food and Drug Administration	(DFA)
fraction d'oxygène inspiré 	(FiO2)
ganglions sous-carénaires 	( N2)
gènes d'hémoglobine anormaux	(bêta globine)
gentamicine	, un aminoglycoside ototoxique
gentamicine	  un aminoglycoside ototoxique
gouttes nasales	(par exemple glucose-glycérine, huile de paraffine)
graves troubles du comportement	( une hyperactivité, une agressivité et des tendances autistiques)
helminthes	(défini comme vers)
hémoglobine A1c glycosylée	(HbA1c)
hémorragie méningée anévrysmale 	( HMA)
hémorragies péri/intraventriculaires 	(HPIV)
hémorroïdes symptomatiques	 maladies ano-rectales
hormonothérapie anti-androgénique	( ADT)
HPP	défini/e ; définition une perte de sang d'au moins 500 ml
HTAP	( HTAPP, HTAP secondaire à un trouble du tissu conjonctif ou populations mixtes)
humeur maussade	(épisodes dépressifs)
hypercholestérolémie familiale	 un trouble héréditaire
hyperventilation	(une respiration trop profonde et/ou trop rapide)
hystérectomie	 la voie vaginale (HV) semble être un meilleur abord que la voie laparoscopique (HL) ou abdominale
IELT	c'est-à-dire le temps écoulé entre la pénétration vaginale et l'éjaculation
implants imprégnés de carmustine	( Gliadel(R))
infection des voies respiratoires supérieures	(IVRS)
Inhibiteurs de la réductase CoA HMG 	( statines)
insuffiance cardiaque symptomatique	(classe II à IV de la NYHA)
insuffisance rénale chronique 	( IRC)
intervalle de confiance	( IC)
intervalle de confiance	( IC)
intervalle de confiance	( IC)
intervalle de confiance	(IC)
intervalle de confiance	(ICIP)
intervalle de confiance 	( IC)
intervalle de confiance 	(IC)
intervalles de confiance	(IC)
intervention	(par exemple une greffe de peau)
intervention	 telle que la rééducation standard
intervention chirurgicale	(c'est-à-dire extraction, incision et drainage ou traitement endodontique)
Intervention comportementale intensive précoce 	( ICIP)
intervention de mobilisation	(par exemple mobilisation du carpe)
intervention de mobilisation	(par exemple yoga ou chiropractie)
intervention didactique	(par exemple un plan écrit de prise en charge de l'asthme)
intervention non-chirurgicale	(par exemple attelles ou ultrasonothérapie)
interventions	par exemple ; telles que l'hémodialyse
interventions	  telles que l'hémodialyse
interventions chiropratiques combinées	(c'est-à-dire une combinaison de thérapies et non la manipulation vertébrale seule)
interventions de prise en charge	( interventions d'organisation des services cliniques)
interventions peropératoires	(par exemple un blocage bêta-adrénergique)
Intravaginal Ejaculation Latency Time	(IET)
IP anciens 	(par exemple indinavir, ritonavir, nelfinavir, saquinavir)
ischémie	( un trouble du débit sanguin vers le cerveau)
kératoplastie lamellaire antérieure profonde	( KLAP)
kystectomie bilatérale	( une intervention chirurgicale ultra-conservatrice)
kystectomie et oophorectomie contralatérale	(une chirurgie conservatrice)
l' asthme tussif 	ce que l'on appelle une forme d'asthme
la bétahistine	(Serc(R)
La biopsie hépatique	étant une  méthode invasive
La blépharite	tels que une inflammation associée à des symptômes tels que démangeaisons, rougeurs, desquamation et encroûtement des paupières
La blépharite	est un/e affection/s une affection oculaire commune
La BPCO	est un/e maladie évolutive dont les exacerbations, au stade avancé, peuvent entraîner une insuffisance ventilatoire.
La bronchectasie	est un/e  une maladie respiratoire courante
La bronchectasie	maladies respiratoires
La bronchiolite	est un/e  une maladie respiratoire grave, pouvant être mortelle, qui affecte couramment les bébés
La bronchiolite	est un/e  une maladie des voies respiratoires inférieures courante
La bronchiolite	est un/e  une maladie inflammatoire aiguë des bronchioles
la bronchite aiguë	( l'une des maladies les plus fréquemment rencontrées en soins primaires)
La bronchopneumopathie chronique obstructive	(BPCO)
La bronchopneumopathie chronique obstructive 	(BPCO)
La bronchopneumopathie chronique obstructive (BPCO)	est un/e  une maladie évolutive qui se caractérise par des exacerbations, généralement d'origine infectieuse, qui affectent les symptômes et la qualité de vie
La bronchopneumopathie chronique obstructive (BPCO)	est un/e trouble pulmonaire chronique courant, généralement lié au tabagisme
La bronchopneumopathie chronique obstructive (BPCO)	est un/e  une maladie associée à une morbidité et une mortalité élevées
La bronchopneumopathie chronique obstructive (BPCO)	est un/e  une maladie respiratoire progressive qui provoque des symptômes d'essoufflement, de toux et d'accumulation de mucosités
La bronchopneumopathie chronique obstructive (BPCO)	est un/e  une affection chronique caractérisée par une limitation progressive du flux respiratoire qui est, au mieux, partiellement réversible
La broncho-pneumopathie chronique obstructive (BPCO)	est caractérisée par par exemple une obstruction des voies respiratoires en raison d'une réponse inflammatoire anormale des poumons à des particules ou gaz nocifs, par exemple, la fumée de cigarette
la bursite sous-acromiale/tendinite calcifiante des courts rotateurs de l'épaule	par exemple inflammation de la partie sous-acromiale des bourses séreuses, de la partie sous-deltoïde, ou des deux
La candidose buccale 	( CB)
La cardiomyopathie du péripartum	(CMPP)
La cardiomyopathie du péripartum (CMPP ou CPMO)	est un/e  une maladie rare, dont l'étiologie est inconnue, qui se caractérise par l'apparition d'une insuffisance cardiaque aiguë chez les femmes se trouvant dans la dernière phase de leur grossesse ou pendant les premiers mois du post-partum
La cardiomyopathie hypertrophique 	(CMH)
