Column1	Column2
autres spondylarthrites	(SpA)
axillaires	(aisselle)
bactéries présentent une résistance à des antibiotiques 	, par exemple Staphylococcus aureus résistant à la méthicilline
bactéries présentent une résistance aux antibiotiques de routine	, par exemple Staphylococcus aureus résistant à la méthicilline 
barotraumatisme	 défini comme la présence d'un pneumothorax sur la radiographie du thorax ou l'insertion d'un drain thoracique pour pneumothorax avéré ou soupçonné
bêta-agonistes à action prolongée	(par exemple le Formotérol)
biais	(par exemple surestimation des bénéfices ou sous-estimation des inconvénients des traitements de manière systématique)
biais	autrement dit  une surestimation des effets bénéfiques et une sous-estimation des effets néfastes
biais	c'est-à-dire  surestiment les bénéfices et sous-estiment les risques
blessures pénétrantes	(par exemple les plaies par balle ou par couteau)
bon cholestérol	(lipoprotéines de haute densité)
bouche sèche	( sécheresse buccale)
BPCO	(trouble/s emphysème et bronchite chronique)
BPCO - bronchite chronique	(maladie une maladie pulmonaire chronique avancée)
BPCO - bronchite chronique	ou emphysème
bronchectasie	(maladie une maladie pulmonaire chronique)
bronchiolite	(maladie une maladie respiratoire qui affecte généralement les nourrissons et qui typiquement imite un simple rhume)
bronchopneumopathie chronique obstructive	(BPCO)
broncho-pneumopathie chronique obstructive	c'est-à-dire  BPCO, c'est-à-dire bronchite chronique ou emphysème, ou les deux
broncho-pneumopathie chronique obstructive	, une combinaison d'emphysème et de bronchite chronique
broncho-pneumopathie chronique obstructive	ou BPCO
broncho-pneumopathie chronique obstructive 	(BPCO)
bronchopneumopathie chronique obstructive (BPCO)	 maladie ; ou maladie pulmonaire obstructive chronique (MPOC)
calcium et de phosphore 	<non-marq> maladie ces minéraux
cancer	d'autres affection/s affections douloureuses au long cours
cancer systémiques	c'est-à-dire  non localisés
cathéter	(un tube mince)
cathéter veineux périphériques/canule (CVP)	 aussi appelé/e voie veineuse 
cathétérisme cardiaque	appelée une procédure invasive
cathéters périphériques	(c'est-à-dire  des tubes insérés dans les veines des membres et conçus pour une utilisation à court terme)
causes iatrogènes	(problèmes résultant d'un traitement médical)
cellules malignes	(cancéreuses)
ceux qui réduisent l'intérêt sexuel par d'autres mécanismes	(c’est-à-dire les antipsychotiques et les antidépresseurs sérotonergiques (ISRS))
changements dans le système immunitaire 	y compris ; , maladie ;trouble/s une modification de la réaction immunologique 
changements de mode de vie	, par exemple être physiquement plus actif, manger moins de calories et rester assis moins longtemps
chemo-fog	ou chemobrain
chimiothérapie	(maladie traitement médicamenteux)
chimiothérapie	(médicaments anticancéreux)
chimiothérapie	(traitement qui cible les cellules lymphatiques)
chimiothérapie préopératoire ou néoadjuvante 	(connue sous le nom de maladie chimiothérapie avant la chirurgie)
chirurgie de la cataracte	(affection/s En retirant le cristallin opaque)
chirurgie de l'obésité	(trouble/s Les procédures chirurgicales pour traiter l'obésité)
chirurgie de réduction tumorale	(maladie enlever autant que possible le cancer visible)
cholécystectomie laparoscopique	connue sous le nom de affection/s l'ablation chirurgicale de la vésicule biliaire à travers une chirurgie endoscopique
cholestérol	(maladie  une substance graisseuse )
cholestérol	(appelée lipide)
cholestérol des lipoprotéines de basse densité	(  LDL, le  mauvais  cholestérol)
chorioamniotite	(par exemple morbidité maternelle )
chronique	indique que affection/s l'affection persiste pendant au moins six semaines
chronique	( la maladie peut être douloureuse et de longue durée)
chronique	(au long cours)
chronique	(persistante)
cirrhose	(une maladie hépatique avancée)
claudication intermittente	(également connue sous le nom de maladie Une personne atteinte d'une maladie des artères des jambes peut ressentir de la douleur en marchant)
claudication intermittente	(des douleurs dans les jambes à la marche)
claudication intermittente (CI)	on parle également de maladie une maladie artérielle périphérique suite au rétrécissement des artères des jambes peuvent ressentir des crampes douloureuses dans les jambes ou les fesses à la marche
clopidogrel	, maladie un nouveau médicament antiplaquettaire oral
CNTF	(Ciliary Neurotrophic Factor)
colite ulcéreuse (CU)	, maladie une maladie inflammatoire chronique du côlon
combinaison de traitements antirétroviraux 	(maladie cART)
comorbidité	 maladie présence d'autres maladies ou pathologies
co-morbidité	(maladie présence d'autres maladies)
complications	(maladie ; telles que l'infection)
complications	(trouble/s IVU, hydronéphrose et troubles de la fonction rénale)
complications à long terme	comme maladie des maladies rénales, nerveuses et oculaires
complications liées au VIH	 maladie ; telles que ; ou les infections opportunistes ou le décès
complications motrices	 maladie ; telles qu' une dyskinésie, un mouvement du corps saccadé de pseudo-danse
complications motrices 	telles que une dyskinésie, un mouvement du corps saccadé de pseudo-danse
congénitales	(maladie présentes à la naissance)
conséquences neurologiques à vie	 notamment ; trouble/s déficiences cognitives et motrices, ainsi que des troubles auditifs et visuels
convulsif	(épileptique)
convulsions récurrentes	(crises)
Cordyceps sinensis	(maladie une herbe médicinale chinoise)
cornée	(la partie avant transparente de l'oeil)
corticostéroïdes	(également appelés par exemple corticoïdes)
COX-2	(par exemple le célécoxib)
crèmes antibiotiques	, maladie la mupirocine et l'acide fusidique
crises convulsives 	(crises)
crises modérées	(c’est-à-dire nécessitant des corticoïdes oraux)
critères de jugement importants	, maladie ; tels que la qualité de vie liée à la santé, les maladies (la morbidité) et les coûts économiques
critères de jugement importants qui étaient rarement, voire jamais, inclus 	(par exemple le sentiment de contrôle pendant le travail, l'allaitement, l'interaction entre la mère et son bébé, les coûts et les résultats concernant le nourrisson)
croissance restreinte	(défini/e ; définition les bébés petits mais normalement développés et les bébés qui ne concrétisent pas leur plein potentiel de croissance)
d'analgésiques	tels que le fentanyl
d'autres dits  négatifs 	(fatigue, apathie, perte des émotions)
de façon systémique	(administrés par voie orale ou par injection)
de syndromes génétiques	(par exemple : syndrome de Down, syndrome de Rett
de troubles de vascularisation des jambes 	(maladie vasculaire périphérique)
décompensation	(maladie incapacité à surmonter les détériorations cardiaques)
déconditionnement	(le muscle insuffisamment utilisé perdra en performance et s'affaiblira)
déficience intellectuelle	également connue sous le nom de  retard mental 
déficience intellectuelle 	(également connue sous le nom de trouble/s retard mental)
degré 0	(pas de douleurs ou de signes physiques)
degré 4 	(fracture ou luxation)
délires	(maladie croyances non fondées)
d'embolie pulmonaire	connue sous le nom de bloquer les artères des poumons (une affection potentiellement mortelle)
démences	 maladie ; telle que la maladie d'Alzheimer
démences communes	 maladie ; telles que ;  la maladie d'Alzheimer
démences rares	 maladie ; y compris la maladie de Huntington (MH), l'artériopathie cérébrale autosomique dominante avec infarctus sous-corticaux et leucoencéphalopathie (CADASIL, d'après l'acronyme anglais), la démence fronto-temporale (DFT), la démence dans la sclérose en plaques (SEP) et la paralysie supranucléaire progressive (PSP)
dépression diagnostiquée cliniquement	 y compris ; trouble/s trouble dépressif majeur
dérivation urinaire	(maladie pratiquer une chirurgie pour dériver l'urine de la vessie)
d'erreurs aléatoires	(il y avait un risque de parvenir à des conclusions erronées par effet du hasard)
derrière le tympan	(la cavité de l'oreille moyenne)
des affections	 telles que ; affection/s la pneumonie, un traumatisme ou après la chirurgie
des affections du nez et des sinus	(la sinusite aiguë)
des affections invalidantes aortiques et cardiaques	 maladie ; telles que ; affection/s l'anévrisme (dilation) de l'aorte ascendante, les maladies coronariennes, l'hypertension artérielle et les valvulopathies aortiques et mitrales
des affections invalidantes aortiques et cardiaques	telles que l'anévrisme (dilation) de l'aorte ascendante, les maladies coronariennes, l'hypertension artérielle et les valvulopathies aortiques et mitrales
des affections musculosquelettique	 telles que ; affection/s l'arthrite ou les douleurs musculaires
des allergies	 telles que l'asthme, la dermatite / l'eczéma, le rhume des foins et des allergies alimentaires
des anomalies de la peau	telles qu' une augmentation de la pigmentation ou un épaississement de la peau
des anomalies de la peau 	telles que une augmentation de la pigmentation ou un épaississement de la peau
des anomalies hémostatiques	notamment l'hyperfibrinolyse
des anomalies sensorielles	(trouble/s cécité et surdité)
des antagonistes des opiacés	( la naltrexone, naloxone)
des anticoagulants	 par exemple l'héparine
des artères terminales	c'est-à-dire  des artères qui constituent le seul approvisionnement en sang de l'organe en question
des articulation	par exemple le genou ou la hanche
des aspects de la santé psychosociale	(par exemple l'anxiété, la dépression, la culpabilité, la confiance en soi)
des bêta-agonistes à action prolongée (BAAP) inhalés	(par exemple le Formotérol)
des blocages nerveux régionaux	 tel que le bloc paracervical
des bourdonnements dans les oreilles	(acouphènes)
des causes iatrogènes	(problèmes résultant d'un traitement médical)
des changements appliqués au mode de vie 	(par exemple éviter de soulever ou de perdre du poids)
des compétences 	(par exemple la relaxation, les activités de stimulation)
des complications	 maladie ; telles que réactions allergiques ou transmission de maladies infectieuses
des complications 	: maladie hypertension, hyperglycémie ou hyperlipidémie, risque accru d'infection, obésité, cataracte, maladies musculaires, altérations du métabolisme osseux et problèmes de peau
des complications de la grossesse	, par exemple un travail prématuré, un accouchement prématuré, une rupture prématurée des membranes, un faible poids de naissance du nourrisson ou une infection de l'utérus après l'accouchement
des complications impliquant le coeur, les poumons, ou les voies respiratoires 	(par exemple, inhalation de vomissement dans les poumons)
des complications microvasculaires du diabète	 telles que la rétinopathie, la néphropathie et la neuropathie
des complications par des maladies sous-jacentes	, maladie ; notamment le cancer
des complications physiques 	 maladie ; telles que des crises douloureuses et des accidents ischémiques
des complications rares de la maladie 	comprennent maladie l'hospitalisation, la pneumonie, voire la mort
des convulsions récurrentes 	(crises)
des corticostéroïdes 	(également appelés corticoïdes)
des crampes douloureuses dans les jambes ou les fesses à la marche	on parle également de claudication intermittente
des crises convulsives	c'est-à-dire  de récidive des crises ou de périodes prolongées de rémission sans crises
des critères de jugement importants	, tels que ; trouble/s le soulagement des démangeaisons, la satisfaction des femmes, les troubles du sommeil et les effets indésirables des interventions
des critères de jugement importants pour les patients	, tels que ; affection/s la qualité de vie et le soulagement de la douleur
des critères de jugement liés aux patients 	(par exemple  la qualité de vie, le développement d'une cirrhose et la mortalité)
des difficultés neuropsychologiques	(par exemple des problèmes de mémoire ou de pensée)
des difficultés psychologiques	(comme  des symptômes de dépression ou d'anxiété)
des dispositifs de libération prolongée de fluor	(par exemple des billes de verre à dissolution lente libérant du fluorure)
des doigts et des orteils	par exemple parties du corps avec des artères terminales
des douleurs pelviennes chronique	(douleurs dans le bas-ventre)
des douleurs pelviennes chroniques	(douleurs dans le bas-ventre)
des effets indésirables	comme maladie ; trouble/s des troubles du mouvement
des effets secondaires	(des événements indésirables)
des effets secondaires	 trouble/s ; tels que prise de poids, tremblements, trépidation et des troubles de l'élocution
des effets secondaires 	, tels que des problèmes intestinaux ou cardiaques
des effets secondaires graves	tels que rigidité musculaire, tremblements et ralentissements des mouvements corporels.
des effets secondaires importants	comme  trouble/s ; ou des troubles gastro-intestinaux, une irritabilité, une somnolence ou des étourdissements
des effets secondaires indésirables	tels que tels que ; trouble/s l'affaiblissement des os, des troubles du sommeil et de l'anxiété
des effets secondaires invalidant	 tels que ; trouble/s les troubles du mouvement, la prise de poids, la somnolence et les vertiges
des effets secondaires significatifs	(trouble/s effets nocifs)
des effets secondaires spécifiques	, notamment ; trouble/s des troubles du sommeil, des rêves inhabituels, des maux de tête, une diminution de l'appétit, des nausées ou une fatigue
des éruptions	ou autres problèmes cutanés
des essais contrôlés randomisés	(maladie essais où le traitement est assigné aux femmes d'une manière aléatoire)
des essais contrôlés randomisés	(trouble/s dans lesquels les participants sont assignés au hasard à un groupe de traitement parmi deux ou plusieurs)
des essais randomisés	(maladie des études cliniques dans lesquelles les personnes sont réparties de façon aléatoire dans différents groupes de traitement)
des étourdissements	(vertiges)
des étourdissements de type rotatoire 	(vertiges)
des études quasi-randomisées	(où l'assignation n'est pas réellement aléatoire)
des études randomisées	(par exemple les participants sont assignés à l'un des deux ou plusieurs traitements possibles d'une manière aléatoire)
des événements indésirables graves 	, ; notamment une maladie coronarienne
des exacerbations sévères 	(comme par exemple nécessitant une hôpitalisation)
des extravasations	c'est-à-dire  l'écoulement de liquide dans les tissus biologiques environnants
des facteurs de risques évitables	comme le tabagisme, une mauvaise alimentation, la sédentarité et l'abus d'alcool
des ganglions axillaires	(aisselle)
des globules rouges	dits drépanocytaires ou en demi-lune
des idées fixes et erronées	idées délirantes
des infections des voies aériennes supérieures	 notamment des infections de l'oreille moyenne
des insufflations d'air	 par exemple du bouche-à-bouche
des interventions non-chirurgicales de thérapie de la voix	(par exemple un ré-entraînement de la voix, le repos ou des conseils d'hygiène)
des liquides intraveineux 	(le liquide est administré directement dans un vaisseau sanguin)
des maladies	 maladie ; telles que le VIH et l'hépatite C
des maladies 	telles que maladie une cardiopathie ou un cancer du poumon chez les fumeurs
des maladies auto-immunes	qui s'expliquent par le fait que maladie l'organisme fabrique un anticorps contre la peau de la personne
des maladies cardiovasculaires	comme maladie des crises cardiaques ou des AVC
des maladies chroniques 	comme maladie l'ostéoporose
des maladies de long terme	comme maladie l'asthme
des maladies infectieuses	 maladie ; telles que la diarrhée
des maladies infectieuses	 maladie ; telles que le virus de l'immunodéficience humaine (VIH) ou la syphilis
des maladies infectieuses	telles que le virus de l'immunodéficience humaine (VIH) ou la syphilis
des maladies neurologiques	(nerf)
des maladies parodontale	(gencives)
des maladies virales	comme maladie la grippe
des maladies virales courantes	 maladie ; telles que ; trouble/s les rhumes, la toux, les maux de gorge et les troubles gastro-intestinaux
des manifestations rhumatologiques	l'arthrose
des médicaments	par exemple la bétahistine ou des diurétiques
des médicaments anti-inflammatoires stéroïdiens	(affection/s les corticoïdes)
des médicaments antipsychotiques de deuxième génération	(trouble/s amisulpride, aripiprazole, olanzapine, quétiapine et rispéridone)
des médicaments imitant la dopamine 	(agonistes de la dopamine)
des médicaments opiacés	(par exemple la péthidine, la morphine et des médicaments semblables)
des médicaments opioïdes	comme par exemple la morphine et la codéine
des médicaments pour induire l'ovulation	par exemple le citrate de clomiphène
des médicaments qui empêchent l'augmentation du tonus musculaire 	(baclofène et dantrolène)
des médicaments qui réduisent les spasmes musculaires	 par exemple les benzodiazépines, le Xanax et l'Ativan, et les non-benzodiazépines
des médicaments réduisant le taux d'acide urique	(par exemple la benzbromarone, le probénécide, l'allopurinol, le febuxostat, la pégloticase)
des mesures physiologiques 	est un/e par exemple La mesure du monoxyde de carbone exhalé ou les épreuves fonctionnelles respiratoires
des mouvements physiques	tels que une agitation violente au lit
des organes solides	(c’est-à-dire foie, du pancréas, du coeur, du rein et du poumon)
des pathologies médicales	comme maladie le diabète
des patients avec des plaies d'étiologie mixte	, par exemple des ulcères artério-veineux
des périodes d'élévation de l'humeur	(manie ou hypomanie dans sa forme moins sévère)
des périodes d'humeur maussade	(dépression)
des placebos actifs	c'est-à-dire  des placebos contenant des substances actives qui imitent les effets secondaires des antidépresseurs
des problèmes à l'estomac	comme des ulcères, et que les AINS
des problèmes abdominaux et neurologiques graves	 par exemple des hémorragies cérébroventriculaires et des entérocolites nécrosantes
des problèmes de bien-être psychosocial	comme des problèmes sociaux, des taquineries de la part des frères et soeurs et une mauvaise estime de soi
des problèmes de santé	 maladie ; tels que les maladies cardiovasculaires et les accidents vasculaires cérébraux (AVC)
des problèmes de santé à plus long terme	 maladie ; tels que le diabète et l'obésité
des problèmes de santé tout au long de la vie	, tels que ; y compris ; trouble/s es troubles auditifs, de la vision et du langage ; des crises ; des déficiences intellectuelles ; et des déficiences motrices, y compris la paralysie cérébrale
des problèmes légers au niveau de la mémoire ou de la pensée	(trouble/s les troubles cognitifs légers ou TCL)
des psychiatres	et d'autres professionnels de la santé mentale
des risques élevés d'erreurs aléatoires	(c'est-à-dire fait du hasard)
des risques élevés d'erreurs aléatoires	(c'est-à-dire fait du hasard)
des scapulae	(omoplates)
des scapulae	(omoplates)
des séances dans des " écoles du dos pour lombalgies "	(maladie séances d'apprentissage de postures adaptées pour que les patients se rétablissent de leurs douleurs dorsales)
des sinus paranasaux 	(un groupe de cavités remplies d'air situées derrière le nez, les yeux et les joues))
des suppléments antioxydants	(maladie bêta-carotène, vitamine A, vitamine C, vitamine E et sélénium)
des symptômes	(trouble/s 'une colère injustifiée, une sensation chronique de vide et une instabilité affective)
des symptômes de la maladie de Ménière	: vertige, perte auditive, acouphènes ou sensation de plénitude auriculaire
des symptômes de la ménopause	comme trouble/s les bouffées de chaleur, l'humeur dépressive ou les troubles du sommeil
des symptômes dits  négatifs	dits tels que l'apathie, le manque d'entrain ou la désorganisation du comportement et de la pensée
des symptômes dits  négatifs 	dits fatigue, apathie, perte des émotions
des symptômes dits  négatifs  	tels que l'apathie, le manque d'entrain ou la désorganisation du comportement et de la pensée
des symptômes dits  positifs 	dits de délires et d'hallucinations
des symptômes dits  positifs 	dits comme entendre des voix, voir des choses et avoir des croyances étranges
des symptômes dits  positifs  	(comme entendre des voix, voir des choses et avoir des croyances étranges)
des symptômes négatifs	tels que un détachement émotionnel et un repli sur soi
des symptômes nerveux	(tels que engourdissement, picotements, douleurs et faiblesse musculaire)
des symptômes physiques et psychologiques	tels que trouble/s douleurs précordiales après l'effort, troubles des fonctions pulmonaires et cardiaques, timidité et isolement social
des symptômes positifs	tels que des hallucinations et des idées délirantes
des symptômes psychotiques 	tels que des distorsions de pensée et de perception, un affect émoussé et des troubles du comportement
des symptômes psychotiques similaires à la schizophrénie	, ; par exemple maladie ; trouble/s le trouble bipolaire
des symptômes pulmonaires 	incluent une toux grasse chronique, de la fatigue et un essoufflement
des techniques d'imagerie	 telles que l'échographie
Des tendons d'Achille douloureux et raides	sont des telles que ; affection/s des affections courantes chez les pratiquants d'activités sportives telles que la course à pied, mais surviennent également, pour d'autres raisons, chez des personnes inactives
des traitements du cancer systémiques	comme la chimiothérapie
des traitements non chirurgicaux	(tels que ; la physiothérapie)
des traitements systémiques	c'est-à-dire pris par voie orale
des traitements topiques	c'est-à-dire  appliqués à la surface de la peau 
des troubles allergiques	 tels que ; trouble/s l'urticaire, la rhinite allergique et la conjonctivite allergique
des troubles de l'humeur	 tels que ; trouble/s la dépression
des troubles digestifs	 tels que ; notamment des nausées
des troubles digestifs	tels que tels que des nausées.=
des troubles du comportement	qui se manifeste par trouble/s des gémissements, l'agitation et le désarroi
des troubles du mouvement	(trouble/s (incapacité à rester assis, tremblements incontrôlables et difficulté à marcher)
des troubles du mouvement	comme trouble/s une posture étrange
des troubles du mouvement	(incapacité à rester assis, tremblements incontrôlables et difficulté à marcher)
des troubles du mouvement	tels que des tremblements incontrôlables, des trépidations, la rigidité musculaire, la fatigue, la prise de poids et l'incapacité à rester assis
des troubles du spectre autistique	(trouble/s TSA)
des troubles gastro-intestinaux	(trouble/s maux d'estomac)
des troubles hypertensifs de la grossesse	(comme trouble/s une pré-éclampsie, une éclampsie et une tension artérielle anormalement élevée pendant la grossesse)
Des troubles mentaux	 tels que ; trouble/s des hallucinations, des idées délirantes ou une confusion
des troubles moteurs	 trouble/s ; tels qu' agitation, spasticité et tremblements
des troubles moteurs graves	 tels que ; trouble/s spasmes, tremblements, rigidité musculaire et incapacité à rester assis
des troubles moteurs graves 	tels que spasmes, tremblements, rigidité musculaire et incapacité à rester assis
des troubles ou des handicaps	 tels que ; notamment la paralysie cérébrale
des troubles ou des handicaps 	tels que la paralysie cérébrale
des tumeurs cervicales de grande taille	(maladie > 4 cm)
des types moins invasifs de chirurgie	tels que l'hystérectomie simple ou la conisation
des vibrations globales du corps 	(maladie VGC)
d'essais contrôlés randomisés	(trouble/s ECR)
d'états pathologiques	tels que diabètes, maladies cardiovasculaires et cardiopathies
deuxième trimestre 	 défini comme la période entre 14 et 24 semaines de grossesse
développement cognitif de l'enfant	(c'est-à-dire défini/e le développement intellectuel)
d'hypertension artérielle	(maladie HTA)
diabète de type 2	(diabète non insulinodépendant)
diabète de type 2 	(diabète non insulinodépendant)
différentes composantes des soins	(par exemple médicaments, auto-prise en charge et éducation, rééducation physique)
différents types de chimiothérapie	(par exemple des agents à base de platine, doxorubicine, Â paclitaxelÂ ou topotécane)
d'infection	(par exemple thromboembolie)
d'infection opportuniste 	( IO)
d'infirmité motrice cérébrale	(un trouble réduisant la capacité à bouger normalement les bras ou les jambes)
d'inflammations pouvant endommager les intestins	(entérocolite nécrosante)
d'instruments à moteur 	par exemple fraises dentaires
d'insuffisance hépatique chroniqu	(destruction progressive des fonctions hépatiques normales, généralement associée à la régénération fibreuse des tissus du foie)
dispositifs médicaux invasifs	 par exemple cathéters centraux, cathéters urinaires et dispositifs de ventilation mécanique
divers événements indésirables	, y compris ; trouble/s les troubles du mouvement et la somnolence
diverticules	que l'on nomme une inflammation d'hernies du gros intestin
d'origine vasculaire	c'est-à-dire  liée au système de circulation sanguine
douleur résultant d'une cause " médicale "	(par exemple douleurs abdominales de l'appendicite)
drain transtympanique 	(ou l'insertion d'un tube de ventilation miniature en plastique)
drépanocytaires	dits une distorsion des globules rouges
du foie, du pancréas, du coeur, du rein et du poumon	(c'est-à-dire des organes solides)
dysarthrie	connue sous le nom de affection/s le visage, la langue, et les muscles de la gorge sont faibles, lents et mal coordonnés
dyskinésie tardive	(trouble/s trouble du mouvement)
dyskinésie tardive	(trouble/s trouble du mouvement)
dyslexie	(ou dyslexie développementale)
dyslexie	(trouble/s ; ou trouble spécifique d'apprentissage de la lecture)
dyslexie	(ou trouble spécifique d'apprentissage de la lecture)
dyspepsie	(troubles digestifs)
dysphagie	(maladie ; trouble/s troubles de déglutition)
dysphagie	 maladie ;  des difficultés à mâcher et à déglutir
dysplasie broncho-pulmonaire	/ maladie ;  maladie pulmonaire chronique
dysplasie broncho-pulmonaire	(DBP)
dystrophine	, maladie une protéine des grands muscles qui joue différents rôles dans les cellules musculaires
dysurie	(miction douloureuse)
effet indésirable	 tel que ; y compris nausées, vomissements, éruption cutanée
effets	tels que la dépression, une mauvaise qualité de vie, des problèmes d'adaptation à la situation (coping) et une dégradation du climat familia
effets cardio-vasculaires	(par exemple l'infarctus du myocarde et l'AVC)
effets délétères	, tels que les infections du sang en général 
effets indésirables	(par exemple une infection, une infection cytomégalovirus, le syndrome lymphoprolifératif post-transplantation, le cancer, une vasculopathie chronique de l'organe greffé, la fonction rénale, l'hypertension ou le diabète sucré)
effets indésirables	 par exemple légères réactions gastro-intestinales, éruptions cutanées
effets indésirables mineurs	(trouble/s troubles sensoriels et ampoules)
effets secondaires	(tels que ; trouble/s la prise de poids et les troubles du mouvement)
effets secondaires	, notamment ; trouble/s des gonflements mammaires, des troubles de l'humeur et des nausées
effets secondaires	,  par exemple la fatigue 
effets secondaires	: trouble/s nausées, diarrhée, troubles du sommeil, baisse de libido, sécheresse de la bouche et agitation
effets secondaires	<non-marq> trouble/s troubles gastro-intestinaux
effets secondaires	 par exemple ; tels que ; trouble/s des problèmes cardiaques ou de prise de poids
effets secondaires	 tels que ; trouble/s gain de poids, vertiges, troubles du mouvement, incapacité à rester assis, tremblements, trépidation et niveaux anormaux de l'hormone prolactine, qui peuvent contribuer à des problèmes de santé sexuelle et mentale
effets secondaires 	comme ; ,  par exemple les mycoses buccales
effets secondaires 	tels que des problèmes cardiaques ou de prise de poids
effets secondaires de la dicyclomine	, par exemple des difficultés de réveil, un réveil complet ou au contraire une somnolence
effets secondaires digestifs	(trouble/s nausées, diarrhée)
effets secondaires gastro-intestinaux	(maladie nausées, vomissements et diarrhée)
effets secondaires graves	tels que maladie  ; trouble/s des réactions allergiques ou une maladie sérique avec essoufflement et fièvre, des troubles de la coagulation sanguine ou une insuffisance hépatique 
